model,seed,r2_with,r2_without,delta_r2,rmse_with,rmse_without,delta_rmse
LightGBM,42,0.7237700026352529,0.7123769259384911,0.011393076696761817,0.8909049178443931,0.9090919214030867,0.018187003558693626
RandomForest,42,0.672808390447736,0.6728179254485567,-9.535000820681816e-06,0.9696098432862789,0.9695957150236054,-1.4128262673440695e-05
Ridge,42,0.6820584078262388,0.6803195306164059,0.0017388772098329008,0.955805684315255,0.9584158530935654,0.002610168778310329
CatBoost,42,0.7250783550309721,0.7269438418362167,-0.001865486805244676,0.8887925457296998,0.8857719523509502,-0.003020593378749603
XGBoost,42,0.7177376364165056,0.7234604706717987,-0.0057228342552931855,0.9005802604649222,0.89140393377683,-0.009176326688092207
LightGBM,7,0.7195879521980938,0.7187847081907682,0.0008032440073255653,0.8976236180952345,0.8989083260806647,0.0012847079854302335
RandomForest,7,0.6747194590178689,0.6741257139764185,0.0005937450414503775,0.9667740361905913,0.9676559757990811,0.0008819396084898123
Ridge,7,0.6820584078262388,0.6803195306164059,0.0017388772098329008,0.955805684315255,0.9584158530935654,0.002610168778310329
CatBoost,7,0.7165275426111892,0.7198547414341636,-0.0033271988229743865,0.9025086455761375,0.8971965085810463,-0.0053121369950912545
XGBoost,7,0.7177376364165056,0.7234604706717987,-0.0057228342552931855,0.9005802604649222,0.89140393377683,-0.009176326688092207
LightGBM,123,0.7108284702037333,0.7202914286798388,-0.009462958476105454,0.9115357431800915,0.8964969660037457,-0.015038777176345719
RandomForest,123,0.6696370469519168,0.6698573335547353,-0.00022028660281847579,0.9742975408856246,0.9739726550541462,-0.0003248858314783831
Ridge,123,0.6820584078262388,0.6803195306164059,0.0017388772098329008,0.955805684315255,0.9584158530935654,0.002610168778310329
CatBoost,123,0.7179537301577947,0.7223498505901319,-0.004396120432337169,0.9002354624252081,0.8931921394243154,-0.0070433230008927206
XGBoost,123,0.7177376364165056,0.7234604706717987,-0.0057228342552931855,0.9005802604649222,0.89140393377683,-0.009176326688092207
