test_year,n_test,fe_r2,fe_rmse,trend_county_r2
2008,522,-0.0317,1.516,0.3649
2009,524,-0.7824,1.6404,0.1488
2010,536,0.6272,1.0172,0.4271
2011,506,0.6144,1.1085,0.3516
2012,510,0.3376,2.1154,-1.1904
2013,490,0.5595,1.0107,0.518
2014,500,0.2387,1.2786,0.2155
2015,478,0.3988,1.3547,0.4067
2016,489,0.4024,1.3063,0.4035
2017,504,0.3601,1.2536,-0.025
2018,440,0.266,1.6057,0.2011
2019,410,0.4721,1.0721,0.5521
2020,532,0.4273,1.0673,0.4514
2021,450,0.6137,1.1234,0.5492
2022,491,0.5326,1.1949,0.5764
2023,462,0.5862,1.158,0.5775
