feature,votes,selected,protected,avg_rank,rank_mi,rank_lgbm,rank_rf,rank_perm
Yield_lag2,4,True,True,0.5,2,2,1,1
Yield_lag1,4,True,True,1.0,3,1,2,2
nlcd_cropland_frac,4,True,True,11.0,8,23,9,8
prism_tmax_mean_silk,4,True,False,13.0,4,46,3,3
spei30_prism_nldas_mean_silk,4,True,False,14.25,38,8,8,7
nlcd_pasture_hay_frac,4,True,True,15.5,23,5,21,17
prism_kdd30_gs,4,True,False,16.25,9,50,6,4
soil_bulk_density,4,True,True,21.75,54,17,10,10
Fourier_sin_P19_0,4,True,True,22.25,1,64,15,13
Fourier_cos_P19_0,3,True,True,26.5,6,82,11,11
nldas_vpd_mean_veg,4,True,False,27.0,72,12,16,12
Rolling2yr_GDD_Accumulated_mean,4,True,False,27.5,21,56,13,24
nldas_et0_total_silk,4,True,False,27.75,53,19,23,20
Fourier_sin_P11_0,3,True,True,27.75,5,78,17,15
prism_tmax_days_gt35_silk,3,True,False,28.25,16,90,5,6
spi3_prism_min_gs,4,True,False,28.5,75,15,12,16
spi1_prism_min_silk,4,True,False,29.75,70,10,24,19
Fourier_cos_P11_0,3,True,True,30.25,10,81,20,14
nldas_rs_mean_gs,4,True,False,30.5,68,6,27,25
Anom_GDD_Accumulated,3,True,False,31.0,81,11,18,18
prism_tmax_max_gs,4,True,True,31.25,25,37,35,32
nldas_vpd_mean_grain,4,True,False,33.0,20,47,36,33
prism_ppt_total_silk,3,True,False,33.75,87,3,26,23
Inter_CDHW_GDD,3,True,False,35.0,39,96,4,5
prism_tmin_mean_gs,4,True,True,35.5,69,61,7,9
spei30_prism_nldas_min_silk,4,True,False,37.0,59,43,28,22
Fourier_sin_P7_0,3,True,True,38.0,18,86,31,21
spei30_prism_nldas_mean_veg,4,True,False,38.75,76,21,34,28
prism_ppt_total_veg,3,True,False,40.0,78,27,29,30
spei90_prism_nldas_mean_gs,4,True,False,40.75,58,69,14,26
soil_clay,4,True,True,41.0,36,33,49,50
soil_organic_carbon,3,True,True,42.0,80,28,33,31
nldas_vpd_mean_silk,4,True,False,42.75,46,51,41,37
spi6_prism_min_gs,4,True,False,43.75,50,16,65,48
spei30_prism_nldas_mean_grain,4,True,False,43.75,26,41,50,62
elevation_mean_m,3,True,True,44.5,98,13,37,34
prism_tmin_min_gs,3,True,False,44.75,100,7,40,36
GDD_Accumulated,4,True,True,44.75,29,75,32,47
CDHW_Severity_Score,3,True,True,45.0,32,93,30,29
nldas_et0_total_veg,4,True,False,45.5,60,40,45,41
prism_heat_exceedance_total_gs,3,True,False,45.75,15,85,43,44
CDHW_Severity_silking,3,True,False,46.0,24,94,25,45
SPEI_30_mean,4,True,False,46.0,61,73,19,35
nlcd_developed_frac,4,True,False,46.5,44,9,68,69
Rolling3yr_GDD_Accumulated_mean,4,True,False,48.25,37,60,51,49
nlcd_forest_frac,4,True,False,49.0,43,49,53,55
prism_tmax_mean_veg,4,True,False,49.75,48,55,54,46
nldas_et0_total_gs,4,True,False,50.25,71,54,42,38
spei90_prism_nldas_min_gs,4,True,False,50.5,74,45,48,39
CDHW_Silking_Severity,3,True,True,51.0,34,112,22,40
Fourier_sin_P5_0,3,True,True,51.5,64,80,39,27
Rolling3yr_Precip_growseason_mm_mean,3,True,False,51.5,106,18,44,42
cdhw_max_severity_gs,3,True,False,51.5,33,88,38,51
nldas_humidity_mean_gs,4,True,False,51.5,56,44,57,53
nldas_wind_mean_gs,3,True,False,52.0,85,4,62,61
spei30_prism_nldas_min_grain,4,True,False,52.75,22,48,71,74
prism_tmax_mean_grain,4,True,False,53.0,11,65,69,71
Hist_Normal_GDD_Accumulated,4,True,True,53.75,7,70,70,72
nldas_vpd_mean_gs,4,True,False,54.0,30,67,60,63
spi12_prism_mean_gs,3,True,False,54.0,90,24,52,54
spi6_prism_mean_gs,4,True,False,54.0,41,63,59,57
Hist_Normal_Precip_growseason_mm,4,True,True,54.0,40,36,74,70
Rolling2yr_Precip_growseason_mm_mean,3,True,False,55.75,89,30,56,52
spi12_prism_min_gs,3,True,False,59.5,99,29,58,56
spei30_prism_nldas_min_veg,3,True,False,61.25,93,42,55,59
prism_ppt_total_grain,2,True,False,61.5,52,31,80,87
prism_tmax_mean_gs,2,True,True,62.0,13,72,83,84
cdhw_count_gs,3,True,False,62.25,45,103,47,58
spi3_prism_mean_gs,4,True,False,62.75,62,68,61,64
soil_silt,2,True,True,63.0,47,25,94,90
Fourier_cos_P7_0,2,True,True,63.25,79,89,46,43
Precip_growseason_mm,3,True,True,63.5,77,52,64,65
spi1_prism_min_grain,2,True,False,63.75,55,22,91,91
spi1_prism_min_veg,3,True,False,63.75,108,20,63,68
slope_mean,3,True,True,64.0,67,39,79,75
Anom_Precip_growseason_mm,3,True,False,64.25,51,53,72,85
nldas_et0_total_grain,2,True,False,65.5,14,76,90,86
elevation_std_m,1,False,False,66.5,84,26,77,83
