feature,votes,selected,protected,avg_rank,rank_mi,rank_lgbm,rank_rf,rank_perm
Yield_lag2,4,True,True,0.25,1,2,1,1
Yield_lag1,4,True,True,1.0,2,1,3,2
nlcd_cropland_frac,4,True,True,12.25,5,27,10,11
prism_tmax_mean_silk,4,True,False,13.25,4,48,2,3
spei30_prism_nldas_mean_silk,4,True,False,13.5,41,7,6,4
prism_kdd30_gs,4,True,False,16.25,7,49,5,8
nlcd_pasture_hay_frac,4,True,True,16.5,12,17,23,18
soil_bulk_density,4,True,True,18.25,21,36,11,9
nldas_vpd_mean_veg,4,True,False,20.75,51,13,13,10
nldas_rs_mean_gs,4,True,False,21.0,28,14,21,25
Fourier_sin_P19_0,4,True,True,25.25,3,69,19,14
Anom_GDD_Accumulated,4,True,False,26.5,76,8,14,12
Fourier_sin_P11_0,4,True,True,27.0,8,76,15,13
Fourier_cos_P19_0,3,True,True,30.75,29,85,8,5
spi1_prism_min_silk,3,True,False,31.25,81,6,22,20
prism_tmin_mean_gs,4,True,True,31.75,55,62,7,7
nldas_et0_total_silk,4,True,False,32.5,64,10,29,31
nldas_et0_total_veg,4,True,False,32.75,35,47,32,21
spi3_prism_min_gs,3,True,False,33.0,86,18,16,16
Inter_CDHW_GDD,3,True,False,33.25,32,95,4,6
prism_ppt_total_silk,3,True,False,33.5,84,5,26,23
prism_tmax_days_gt35_silk,3,True,False,35.0,15,90,12,27
soil_clay,4,True,True,36.5,14,40,45,51
prism_heat_exceedance_total_gs,3,True,False,37.25,13,81,30,29
CDHW_Severity_Score,3,True,True,38.5,37,97,9,15
Rolling3yr_GDD_Accumulated_mean,4,True,False,38.75,20,65,39,35
soil_organic_carbon,3,True,True,39.25,78,33,28,22
nldas_wind_mean_gs,4,True,False,39.5,69,3,50,40
elevation_mean_m,4,True,True,40.0,70,15,40,39
prism_ppt_total_veg,3,True,False,40.75,83,42,18,24
prism_tmin_min_gs,3,True,False,41.25,95,4,36,34
GDD_Accumulated,3,True,True,41.5,24,80,25,41
Fourier_cos_P11_0,3,True,True,42.25,26,84,37,26
Hist_Normal_Precip_growseason_mm,4,True,True,42.5,23,43,54,54
spei30_prism_nldas_min_silk,4,True,False,42.5,74,38,34,28
spei30_prism_nldas_mean_veg,4,True,False,42.75,73,34,35,33
nldas_et0_total_gs,4,True,False,43.0,67,63,27,19
SPEI_30_mean,4,True,False,43.5,45,72,24,37
nldas_humidity_mean_gs,4,True,False,43.75,44,46,42,47
prism_tmax_max_gs,4,True,True,44.5,25,37,58,62
CDHW_Severity_silking,3,True,False,46.0,30,93,20,45
Rolling2yr_GDD_Accumulated_mean,4,True,False,48.0,19,57,61,59
CDHW_Silking_Severity,3,True,True,48.5,31,112,17,38
spei90_prism_nldas_mean_gs,4,True,False,48.5,54,67,31,46
nldas_vpd_mean_silk,4,True,False,48.75,48,35,60,56
spi12_prism_mean_gs,3,True,False,48.75,90,23,43,43
spei30_prism_nldas_min_grain,4,True,False,49.25,34,44,63,60
spi6_prism_min_gs,4,True,False,50.0,57,21,65,61
nlcd_forest_frac,4,True,False,50.25,18,45,72,70
spei30_prism_nldas_mean_grain,4,True,False,50.25,40,41,59,65
Fourier_sin_P7_0,3,True,True,50.25,49,86,38,32
Hist_Normal_GDD_Accumulated,4,True,True,50.75,6,59,70,72
spei30_prism_nldas_min_veg,3,True,False,51.0,89,26,49,44
nldas_vpd_mean_grain,4,True,False,51.0,59,51,48,50
Fourier_sin_P5_0,2,True,True,51.5,77,83,33,17
slope_mean,4,True,True,51.75,43,32,68,68
Rolling3yr_Precip_growseason_mm_mean,3,True,False,52.0,112,12,46,42
Inter_SPEI_Tmax,4,True,False,53.75,56,55,44,64
nldas_vpd_mean_gs,4,True,False,54.0,61,66,41,52
prism_tmax_mean_veg,4,True,False,54.5,27,52,74,69
nlcd_developed_frac,2,True,False,55.5,36,11,91,88
spi1_prism_min_veg,3,True,False,56.0,98,22,55,53
spi6_prism_mean_gs,4,True,False,56.25,46,60,66,57
Rolling2yr_Precip_growseason_mm_mean,3,True,False,56.5,94,30,51,55
soil_silt,3,True,True,57.75,71,16,77,71
spi12_prism_min_gs,3,True,False,57.75,102,31,53,49
nlcd_grass_shrub_frac,2,True,False,59.75,47,19,86,91
nldas_et0_total_grain,2,True,False,60.25,16,78,78,73
prism_tmax_mean_gs,2,True,True,60.75,10,74,82,81
spi1_prism_mean_gs,4,True,True,61.25,62,64,57,66
pheno_silk_days,3,True,False,62.0,17,87,73,75
Anom_Precip_growseason_mm,3,True,False,62.25,50,58,67,78
Precip_growseason_mm,3,True,True,62.5,82,53,56,63
spei30_prism_nldas_max_gs,3,True,False,64.0,106,9,71,74
spi1_prism_min_grain,2,True,False,64.25,65,24,83,89
spi3_prism_mean_gs,4,True,False,64.75,66,61,69,67
spei90_prism_nldas_min_gs,3,True,False,65.0,92,50,64,58
CDHW_Event_Count,3,True,True,65.0,52,102,62,48
elevation_std_m,2,True,False,65.0,72,20,89,83
Fourier_cos_P7_0,2,True,True,65.75,96,88,47,36
Inter_Heat_Precip,1,False,False,66.5,11,82,90,87
spei30_prism_nldas_drought_days_gs,2,True,False,67.75,63,56,79,77
nlcd_water_wetland_frac,1,False,False,67.75,80,25,84,86
Fourier_sin_P3_0,2,True,True,68.5,104,92,52,30
prism_ppt_total_grain,2,True,False,68.5,75,39,80,84
prism_tmax_mean_grain,2,True,False,68.75,22,70,94,93
soil_awc,1,True,True,69.5,87,28,87,80
spi1_prism_min_gs,2,True,True,71.75,105,29,81,76
cdhw_max_severity_gs,2,True,False,73.0,39,89,76,92
Rolling3yr_Tmax_Days_Above_35_mean,2,True,False,74.25,58,73,85,85
pheno_veg_days,2,True,False,75.0,68,79,75,82
Rolling2yr_Tmax_Days_Above_35_mean,1,False,False,76.25,38,77,97,97
Tmax_Days_Above_35,1,True,True,77.0,9,100,101,102
SPEI_30_min,1,False,False,79.5,79,54,93,96
cdhw_total_days_silk,1,False,False,80.25,33,106,92,94
cdhw_max_duration_gs,1,False,False,86.0,42,107,100,99
noaa_thunderstorm_wind_count_gs,1,True,True,86.5,91,68,96,95
noaa_hail_count_gs,1,True,True,87.25,97,71,95,90
cdhw_count_gs,1,False,False,88.25,53,101,102,101
cdhw_count_silk,1,False,False,89.75,60,105,98,100
Fourier_cos_P5_0,0,True,True,91.75,113,91,88,79
noaa_max_hail_size_gs,1,True,True,96.0,107,75,103,103
CDHW_Severity_vegetative,0,False,False,97.25,85,96,105,107
prism_tmax_days_gt35_grain,0,False,False,99.25,93,98,106,104
Fourier_cos_P3_0,0,True,True,102.0,111,104,99,98
CDHW_Veg_Severity,0,True,True,102.25,88,109,108,108
prism_tmax_days_gt35_veg,0,False,False,103.0,103,103,104,106
CDHW_Severity_grainfill,0,False,False,103.75,101,99,109,110
noaa_tornado_count_gs,0,True,True,106.0,115,94,110,109
CDHW_GrainFill_Severity,0,True,True,106.75,109,110,107,105
cdhw_count_veg,0,False,False,108.75,99,114,113,113
cdhw_total_days_veg,0,False,False,109.25,100,113,114,114
cdhw_total_days_grain,0,False,False,109.5,108,111,111,112
cdhw_count_grain,0,False,False,110.25,114,108,112,111
CDHW_Flag,0,True,True,113.0,110,116,115,115
Fourier_cos_P1_0,0,True,True,115.0,117,115,116,116
Fourier_sin_P1_0,0,True,True,115.75,116,117,117,117
