feature,votes,selected,protected,avg_rank,rank_mi,rank_lgbm,rank_rf,rank_perm
Yield_lag1,4,True,True,0.5,3,1,1,1
Yield_lag2,4,True,True,1.0,2,2,2,2
spei30_prism_nldas_mean_silk,4,True,False,10.5,26,10,5,5
nlcd_pasture_hay_frac,4,True,True,14.0,15,17,17,11
prism_tmax_mean_silk,4,True,False,14.5,4,51,4,3
soil_bulk_density,4,True,True,15.25,36,16,7,6
prism_kdd30_gs,4,True,False,17.75,11,47,9,8
spi1_prism_min_silk,4,True,False,21.0,54,6,14,14
nldas_vpd_mean_veg,4,True,False,22.25,61,11,12,9
nlcd_cropland_frac,4,True,True,23.5,10,39,25,24
nldas_et0_total_silk,4,True,False,24.25,62,9,15,15
Fourier_sin_P11_0,4,True,True,27.25,5,74,18,16
Anom_GDD_Accumulated,4,True,False,27.75,75,4,19,17
Fourier_cos_P19_0,3,True,True,28.0,8,79,16,13
prism_tmax_days_gt35_silk,3,True,False,28.5,7,93,6,12
Fourier_sin_P19_0,4,True,True,29.0,1,70,26,23
Inter_CDHW_GDD,3,True,False,29.5,19,96,3,4
Fourier_cos_P11_0,3,True,True,33.0,14,84,20,18
nldas_rs_mean_gs,4,True,False,33.5,55,32,23,28
spi3_prism_min_gs,4,True,False,34.75,69,19,28,27
prism_ppt_total_silk,3,True,False,35.25,89,8,27,21
elevation_mean_m,4,True,True,35.5,63,23,31,29
spei30_prism_nldas_min_silk,4,True,False,35.5,56,29,30,31
prism_tmin_min_gs,3,True,False,36.0,101,3,24,20
spei30_prism_nldas_mean_veg,4,True,False,37.25,72,13,34,34
prism_tmin_mean_gs,4,True,True,38.0,76,60,10,10
CDHW_Severity_Score,3,True,True,38.0,23,92,22,19
CDHW_Severity_silking,3,True,False,38.25,22,94,11,30
nldas_vpd_mean_grain,4,True,False,38.5,32,54,36,36
prism_tmax_max_gs,4,True,True,40.0,29,42,46,47
Fourier_sin_P7_0,3,True,True,41.5,13,85,40,32
CDHW_Silking_Severity,3,True,True,41.5,27,110,8,25
GDD_Accumulated,4,True,True,43.75,49,76,21,33
soil_clay,4,True,True,43.75,34,20,63,62
Rolling3yr_GDD_Accumulated_mean,4,True,False,44.75,47,64,35,37
nldas_et0_total_veg,4,True,False,44.75,67,36,39,41
Fourier_sin_P5_0,3,True,True,45.0,46,87,29,22
spi12_prism_mean_gs,3,True,False,45.75,78,25,44,40
soil_organic_carbon,4,True,True,46.5,73,28,45,44
prism_tmax_mean_veg,4,True,False,46.5,42,52,47,49
Fourier_cos_P7_0,2,True,True,46.75,83,88,13,7
Rolling2yr_GDD_Accumulated_mean,4,True,False,47.0,48,56,43,45
nldas_vpd_mean_silk,4,True,False,48.5,38,46,57,57
nldas_et0_total_gs,3,True,False,49.0,77,55,33,35
nldas_humidity_mean_gs,4,True,False,49.25,65,33,52,51
prism_ppt_total_veg,3,True,False,50.0,99,21,41,43
spei30_prism_nldas_mean_grain,4,True,False,50.25,40,41,58,66
nldas_wind_mean_gs,3,True,False,51.0,100,7,53,48
spi6_prism_min_gs,4,True,False,51.0,41,18,76,73
nldas_vpd_mean_gs,4,True,False,51.5,59,67,42,42
SPEI_30_mean,4,True,False,52.0,66,75,32,39
Inter_Heat_Precip,3,True,False,53.25,12,81,64,60
spei30_prism_nldas_min_grain,4,True,False,53.75,45,50,61,63
prism_heat_exceedance_total_gs,3,True,False,54.0,16,83,67,54
nlcd_developed_frac,2,True,False,54.25,30,12,89,90
Hist_Normal_GDD_Accumulated,3,True,True,54.75,9,61,75,78
Rolling3yr_Precip_growseason_mm_mean,3,True,False,55.0,108,22,48,46
Fourier_sin_P3_0,3,True,True,55.25,70,91,38,26
prism_ppt_total_grain,4,True,False,56.0,74,45,54,55
prism_tmax_mean_grain,4,True,False,56.75,24,69,69,69
spi1_prism_min_veg,3,True,False,56.75,110,15,56,50
Inter_SPEI_Tmax,4,True,False,58.5,68,65,49,56
nlcd_forest_frac,2,True,False,58.5,39,34,83,82
prism_tmax_mean_gs,4,True,True,59.25,33,73,60,75
Hist_Normal_Precip_growseason_mm,3,True,True,59.25,43,44,73,81
pheno_veg_days,2,True,False,59.25,86,80,37,38
spei90_prism_nldas_min_gs,3,True,False,59.75,91,49,51,52
spi1_prism_min_grain,2,True,False,60.5,57,24,82,83
Rolling2yr_Precip_growseason_mm_mean,3,True,False,61.25,105,27,59,58
spei30_prism_nldas_max_gs,3,True,False,62.0,103,5,70,74
Rolling3yr_Tmax_Days_Above_35_mean,4,True,False,62.0,52,71,68,61
cdhw_max_severity_gs,3,True,False,62.25,37,89,55,72
nlcd_grass_shrub_frac,3,True,False,63.0,51,43,86,76
spei30_prism_nldas_min_veg,3,True,False,63.5,90,35,62,71
spi6_prism_mean_gs,2,True,False,63.75,53,48,79,79
Anom_Precip_growseason_mm,2,True,False,64.0,44,58,78,80
spei30_prism_nldas_drought_days_gs,3,True,False,64.0,58,53,84,65
soil_awc,3,True,True,64.25,96,40,66,59
cdhw_total_days_silk,2,True,False,64.75,21,104,50,88
spi12_prism_min_gs,2,True,False,65.0,88,31,77,68
spi1_prism_min_gs,3,True,True,65.5,104,26,72,64
soil_silt,3,True,True,66.0,92,38,71,67
elevation_std_m,1,False,False,67.25,79,14,94,86
slope_mean,2,True,True,68.25,50,37,95,95
nldas_et0_total_grain,1,False,False,69.25,17,82,91,91
Rolling2yr_Tmax_Days_Above_35_mean,1,False,False,69.75,25,77,87,94
pheno_silk_days,1,False,False,69.75,20,86,92,85
spi3_prism_mean_gs,3,True,False,69.75,64,68,74,77
Tmax_Days_Above_35,1,True,True,70.25,6,100,90,89
Precip_growseason_mm,3,True,True,70.5,94,57,65,70
nlcd_water_wetland_frac,1,False,False,74.0,84,30,93,93
spei90_prism_nldas_mean_gs,2,True,False,74.0,60,63,85,92
spi1_prism_mean_gs,2,True,True,74.5,71,59,88,84
cdhw_max_duration_gs,1,False,False,79.5,18,106,98,100
SPEI_30_min,1,False,False,81.75,97,66,81,87
CDHW_Event_Count,1,True,True,81.75,31,105,97,98
Fourier_cos_P3_0,1,True,True,83.5,107,98,80,53
cdhw_count_silk,1,False,False,84.5,28,102,106,106
noaa_thunderstorm_wind_count_gs,1,True,True,85.75,87,62,99,99
cdhw_count_gs,1,False,False,85.75,35,103,105,104
noaa_hail_count_gs,1,True,True,93.5,114,72,96,96
Fourier_cos_P5_0,0,True,True,95.25,98,90,100,97
noaa_max_hail_size_gs,0,True,True,96.75,106,78,104,103
prism_tmax_days_gt35_grain,0,False,False,97.5,95,95,103,101
CDHW_Severity_vegetative,0,False,False,98.0,81,101,107,107
CDHW_Veg_Severity,0,True,True,101.0,80,112,108,108
CDHW_Severity_grainfill,0,False,False,101.25,109,97,101,102
prism_tmax_days_gt35_veg,0,False,False,101.75,82,109,109,111
CDHW_GrainFill_Severity,0,True,True,106.25,111,111,102,105
CDHW_Flag,0,True,True,106.5,85,116,115,114
cdhw_total_days_veg,0,False,False,107.25,93,113,114,113
noaa_tornado_count_gs,0,True,True,108.25,117,99,111,110
cdhw_total_days_grain,0,False,False,108.75,112,108,110,109
cdhw_count_veg,0,False,False,110.0,102,114,113,115
cdhw_count_grain,0,False,False,110.0,113,107,112,112
Fourier_cos_P1_0,0,True,True,114.75,116,115,116,116
Fourier_sin_P1_0,0,True,True,115.5,115,117,117,117
