feature,votes,selected,protected,avg_rank,rank_mi,rank_lgbm,rank_rf,rank_perm
Yield_lag2,4,True,True,0.75,2,2,1,2
Yield_lag1,4,True,True,1.75,4,1,3,3
spei30_prism_nldas_mean_silk,4,True,False,6.0,14,6,4,4
prism_tmax_mean_silk,4,True,False,12.75,3,49,2,1
nlcd_cropland_frac,4,True,True,13.0,11,35,5,5
nldas_vpd_mean_veg,4,True,False,14.25,36,11,7,7
nlcd_pasture_hay_frac,4,True,True,15.5,20,23,11,12
prism_kdd30_gs,4,True,False,15.5,6,48,6,6
nldas_et0_total_silk,4,True,False,16.0,43,7,9,9
spi1_prism_min_silk,4,True,False,19.5,39,27,8,8
prism_ppt_total_silk,4,True,False,20.75,45,3,20,19
Fourier_sin_P19_0,4,True,True,25.75,1,73,17,16
Fourier_sin_P11_0,3,True,True,26.0,5,78,14,11
Anom_GDD_Accumulated,4,True,False,27.0,65,9,18,20
Fourier_cos_P19_0,3,True,True,27.25,12,81,10,10
nldas_rs_mean_gs,4,True,False,28.0,46,21,26,23
spi3_prism_min_gs,4,True,False,30.25,58,26,19,22
spei30_prism_nldas_min_silk,4,True,False,30.5,35,45,25,21
prism_tmax_max_gs,4,True,True,32.25,18,37,40,38
elevation_mean_m,4,True,True,33.25,67,16,28,26
Fourier_sin_P7_0,3,True,True,34.0,13,87,23,17
nldas_et0_total_gs,4,True,False,35.25,56,60,15,14
spei30_prism_nldas_mean_veg,4,True,False,37.25,61,19,38,35
prism_heat_exceedance_total_gs,3,True,False,37.5,9,80,31,34
spei90_prism_nldas_mean_gs,4,True,False,38.5,50,69,12,27
Fourier_cos_P11_0,3,True,True,39.0,23,86,27,24
prism_ppt_total_veg,3,True,False,39.25,78,15,36,32
spi6_prism_min_gs,4,True,False,39.5,48,25,44,45
CDHW_Severity_Score,3,True,True,39.75,25,96,13,29
soil_clay,4,True,True,40.0,47,28,45,44
soil_bulk_density,4,True,True,40.5,41,22,52,51
prism_tmin_min_gs,3,True,False,41.25,106,5,30,28
Inter_CDHW_GDD,3,True,False,42.75,22,97,16,40
prism_tmax_days_gt35_silk,3,True,False,43.5,7,91,32,48
SPEI_30_mean,4,True,False,44.25,54,70,21,36
nldas_vpd_mean_gs,4,True,False,44.5,37,65,41,39
Fourier_sin_P5_0,3,True,True,45.75,55,85,29,18
Rolling3yr_Precip_growseason_mm_mean,3,True,False,46.5,111,13,35,31
CDHW_Event_Count,3,True,True,46.75,26,103,37,25
Fourier_cos_P7_0,3,True,True,48.25,73,89,22,13
cdhw_max_severity_gs,3,True,False,48.5,30,88,33,47
nldas_et0_total_veg,4,True,False,48.75,57,44,49,49
soil_organic_carbon,3,True,True,49.0,91,24,43,42
nlcd_forest_frac,4,True,False,49.25,32,31,69,69
nldas_vpd_mean_silk,4,True,False,49.5,27,54,60,61
Rolling2yr_GDD_Accumulated_mean,4,True,False,50.5,59,51,50,46
CDHW_Severity_silking,3,True,False,51.5,21,93,42,54
Fourier_sin_P3_0,2,True,True,51.5,79,92,24,15
Rolling3yr_GDD_Accumulated_mean,3,True,False,51.75,81,58,39,33
Inter_SPEI_Tmax,4,True,False,51.75,40,56,47,68
nldas_vpd_mean_grain,3,True,False,52.25,97,52,34,30
spi12_prism_mean_gs,3,True,False,52.5,90,33,48,43
prism_tmax_mean_veg,4,True,False,52.75,44,57,62,52
nldas_wind_mean_gs,4,True,False,53.25,64,4,75,74
spei90_prism_nldas_min_gs,4,True,False,54.5,63,47,53,59
spi1_prism_min_gs,3,True,True,56.5,87,36,66,41
Rolling3yr_Tmax_Days_Above_35_mean,4,True,False,57.5,38,74,67,55
spi3_prism_mean_gs,4,True,False,58.0,53,68,55,60
spi6_prism_mean_gs,4,True,False,58.0,42,53,76,65
spi12_prism_min_gs,3,True,False,58.75,86,41,56,56
soil_silt,2,True,True,59.5,89,12,79,62
Hist_Normal_GDD_Accumulated,2,True,True,60.5,33,55,80,78
prism_tmin_mean_gs,3,True,True,60.75,101,63,46,37
prism_ppt_total_grain,3,True,False,61.25,114,20,57,58
Tmax_Days_Above_35,2,True,True,61.5,8,94,78,70
Hist_Normal_Precip_growseason_mm,2,True,True,62.0,60,32,83,77
Inter_Heat_Precip,2,True,False,62.0,10,84,85,73
spei30_prism_nldas_drought_days_gs,4,True,False,62.25,51,64,71,67
Rolling2yr_Precip_growseason_mm_mean,3,True,False,62.75,109,34,59,53
spi1_prism_mean_gs,4,True,True,62.75,49,61,74,71
spi1_prism_min_veg,3,True,False,63.25,94,30,70,63
nlcd_grass_shrub_frac,3,True,False,63.25,62,38,81,76
elevation_std_m,2,True,False,63.25,74,17,87,79
nldas_et0_total_grain,4,True,False,63.75,69,75,58,57
nlcd_developed_frac,2,True,False,64.0,70,10,90,90
slope_mean,2,True,True,64.0,52,29,88,91
nlcd_water_wetland_frac,3,True,False,64.75,108,18,65,72
CDHW_Silking_Severity,2,True,True,66.0,19,111,51,87
Anom_Precip_growseason_mm,2,True,False,66.0,34,59,86,89
spei30_prism_nldas_mean_grain,3,True,False,66.25,105,39,61,64
pheno_veg_days,2,True,False,66.5,83,83,54,50
spei30_prism_nldas_min_grain,3,True,False,67.75,95,46,68,66
cdhw_total_days_silk,2,True,False,67.75,24,104,63,84
spei30_prism_nldas_min_veg,2,True,False,68.25,80,42,73,82
spei30_prism_nldas_max_gs,1,False,False,68.25,104,8,82,83
Precip_growseason_mm,2,True,True,69.0,85,50,64,81
nldas_humidity_mean_gs,2,True,False,69.75,76,43,84,80
Rolling2yr_Tmax_Days_Above_35_mean,1,False,False,69.75,28,79,91,85
pheno_silk_days,1,False,False,69.75,15,82,94,92
