feature,votes,selected,protected,avg_rank,rank_mi,rank_lgbm,rank_rf,rank_perm
Yield_lag2,4,True,True,0.5,2,2,1,1
Yield_lag1,4,True,True,1.0,3,1,2,2
spei30_prism_nldas_mean_silk,4,True,False,7.75,19,7,5,4
nldas_et0_total_silk,4,True,False,11.25,24,5,12,8
spi3_prism_min_gs,4,True,False,12.25,21,11,11,10
prism_tmax_mean_silk,4,True,False,12.5,4,44,3,3
soil_bulk_density,4,True,True,17.5,32,20,13,9
nldas_rs_mean_gs,4,True,False,18.75,25,14,22,18
nldas_vpd_mean_veg,4,True,False,19.25,27,22,19,13
spei30_prism_nldas_min_silk,4,True,False,19.75,39,35,4,5
prism_kdd30_gs,4,True,False,23.25,9,48,16,24
Fourier_cos_P19_0,3,True,True,23.5,6,80,6,6
spei30_prism_nldas_mean_veg,4,True,False,24.25,26,17,29,29
Fourier_sin_P11_0,3,True,True,26.0,5,79,17,7
prism_ppt_total_veg,4,True,False,26.75,67,23,10,11
spi1_prism_min_silk,4,True,False,27.25,50,8,28,27
Anom_GDD_Accumulated,4,True,False,28.0,70,12,20,14
Fourier_sin_P19_0,4,True,True,28.25,1,71,26,19
nldas_et0_total_veg,4,True,False,29.75,34,50,23,16
nldas_et0_total_gs,4,True,False,30.0,38,49,25,12
Fourier_cos_P11_0,3,True,True,31.25,7,81,24,17
nlcd_cropland_frac,4,True,True,31.75,10,47,40,34
spi6_prism_min_gs,4,True,False,32.5,12,24,52,46
prism_tmax_mean_gs,4,True,True,33.25,17,74,18,28
Rolling2yr_GDD_Accumulated_mean,4,True,False,34.0,49,55,15,21
nldas_wind_mean_gs,4,True,False,34.0,69,3,35,33
CDHW_Severity_silking,3,True,False,37.5,30,93,8,23
spei30_prism_nldas_mean_grain,4,True,False,38.25,28,36,49,44
prism_ppt_total_silk,3,True,False,39.25,103,6,27,25
nlcd_pasture_hay_frac,4,True,True,39.75,76,9,43,35
CDHW_Silking_Severity,3,True,True,39.75,31,105,7,20
nldas_vpd_mean_grain,4,True,False,39.75,13,54,53,43
prism_tmin_mean_gs,3,True,True,40.75,77,66,9,15
nldas_vpd_mean_silk,4,True,False,41.0,23,39,57,49
prism_tmin_min_gs,3,True,False,42.25,95,15,33,30
Inter_CDHW_GDD,3,True,False,43.5,36,96,14,32
nldas_humidity_mean_gs,4,True,False,43.5,60,42,37,39
spei90_prism_nldas_min_gs,4,True,False,44.75,71,40,41,31
Fourier_sin_P7_0,3,True,True,44.75,8,84,54,37
Fourier_sin_P5_0,3,True,True,45.25,47,85,31,22
spei30_prism_nldas_min_grain,4,True,False,46.0,22,45,63,58
prism_heat_exceedance_total_gs,3,True,False,46.0,14,86,38,50
prism_tmax_max_gs,4,True,True,46.5,61,43,45,41
soil_organic_carbon,4,True,True,46.75,51,34,55,51
Rolling3yr_Precip_growseason_mm_mean,3,True,False,47.5,100,10,46,38
spei30_prism_nldas_min_veg,3,True,False,48.75,80,33,39,47
spei90_prism_nldas_mean_gs,4,True,False,49.0,33,68,36,63
spi1_prism_min_veg,3,True,False,50.75,92,25,42,48
nldas_vpd_mean_gs,4,True,False,50.75,29,63,62,53
Precip_growseason_mm,4,True,True,51.75,53,52,50,56
CDHW_Severity_Score,3,True,True,52.0,56,95,21,40
prism_ppt_total_grain,4,True,False,52.25,66,32,60,55
soil_clay,4,True,True,52.5,63,16,68,67
Inter_SPEI_Tmax,4,True,False,53.0,64,60,32,60
Hist_Normal_GDD_Accumulated,3,True,True,53.25,16,62,78,61
prism_tmax_mean_veg,4,True,False,54.75,18,56,75,74
Fourier_cos_P7_0,2,True,True,55.5,82,88,30,26
cdhw_max_severity_gs,3,True,False,55.5,48,89,44,45
nldas_et0_total_grain,3,True,False,55.75,37,77,48,65
GDD_Accumulated,3,True,True,56.75,62,78,34,57
nlcd_developed_frac,2,True,False,57.5,57,4,88,85
spi12_prism_mean_gs,3,True,False,57.75,93,19,61,62
spi12_prism_min_gs,3,True,False,57.75,96,27,58,54
spi6_prism_mean_gs,4,True,False,57.75,40,53,73,69
Rolling3yr_GDD_Accumulated_mean,4,True,False,58.5,68,59,59,52
pheno_silk_days,3,True,False,59.75,15,83,74,71
spi3_prism_mean_gs,4,True,False,59.75,43,69,65,66
Rolling2yr_Precip_growseason_mm_mean,3,True,False,60.5,90,41,56,59
spi1_prism_mean_gs,4,True,True,62.75,46,64,70,75
spi1_prism_min_grain,2,True,False,63.0,65,28,81,82
Hist_Normal_Precip_growseason_mm,3,True,True,63.75,83,31,72,73
soil_silt,1,True,True,64.25,86,13,84,78
Anom_Precip_growseason_mm,2,True,False,65.0,41,57,82,84
nlcd_water_wetland_frac,1,False,False,66.0,88,21,80,79
nlcd_forest_frac,4,True,False,66.25,72,51,76,70
spi1_prism_min_gs,3,True,True,68.0,108,29,71,68
Fourier_sin_P3_0,2,True,True,68.0,99,90,51,36
SPEI_30_mean,3,True,False,68.25,58,70,66,83
