feature,votes,selected,protected,avg_rank,rank_mi,rank_lgbm,rank_rf,rank_perm
Yield_lag2,4,True,True,0.25,1,2,1,1
Yield_lag1,4,True,True,1.25,3,1,3,2
prism_tmax_mean_silk,4,True,False,12.75,4,46,2,3
spei30_prism_nldas_mean_silk,4,True,False,15.0,39,13,6,6
prism_kdd30_gs,4,True,False,16.5,6,48,7,9
nlcd_cropland_frac,4,True,True,16.5,8,37,13,12
nldas_vpd_mean_veg,4,True,False,19.5,47,11,14,10
nlcd_pasture_hay_frac,4,True,True,20.5,27,15,23,21
spi1_prism_min_silk,4,True,False,24.25,66,5,17,13
prism_tmax_max_gs,4,True,True,24.75,17,36,25,25
nldas_et0_total_silk,4,True,False,24.75,67,7,15,14
soil_bulk_density,4,True,True,24.75,41,28,19,15
Fourier_sin_P11_0,3,True,True,25.0,5,79,12,8
prism_tmax_days_gt35_silk,3,True,False,26.0,10,90,4,4
Fourier_cos_P19_0,3,True,True,26.75,12,84,8,7
prism_tmin_mean_gs,4,True,True,27.5,48,56,5,5
nldas_rs_mean_gs,4,True,False,28.5,46,19,26,27
soil_clay,4,True,True,29.0,33,18,36,33
Fourier_sin_P19_0,4,True,True,29.5,2,73,27,20
Anom_GDD_Accumulated,3,True,False,30.25,78,10,18,19
prism_ppt_total_veg,3,True,False,31.0,86,22,9,11
Hist_Normal_GDD_Accumulated,4,True,True,31.5,11,59,24,36
prism_tmin_min_gs,3,True,False,34.75,96,8,21,18
prism_ppt_total_silk,3,True,False,35.0,82,4,30,28
spi6_prism_min_gs,4,True,False,36.5,42,9,52,47
Fourier_sin_P7_0,3,True,True,38.0,19,86,28,23
CDHW_Severity_Score,3,True,True,38.25,34,95,11,17
prism_heat_exceedance_total_gs,3,True,False,38.75,13,81,34,31
Inter_CDHW_GDD,3,True,False,39.25,23,98,10,30
Fourier_cos_P11_0,3,True,True,40.5,22,82,33,29
Rolling2yr_GDD_Accumulated_mean,4,True,False,40.5,20,54,44,48
spei90_prism_nldas_mean_gs,4,True,False,40.75,63,64,16,24
elevation_mean_m,4,True,True,41.5,73,23,40,34
Rolling3yr_GDD_Accumulated_mean,4,True,False,42.25,25,68,43,37
spi3_prism_min_gs,4,True,False,42.5,75,27,37,35
nldas_humidity_mean_gs,4,True,False,42.5,50,32,50,42
Fourier_sin_P5_0,3,True,True,43.75,56,85,22,16
spei30_prism_nldas_min_silk,4,True,False,45.0,71,40,41,32
GDD_Accumulated,3,True,True,45.5,24,78,32,52
spei30_prism_nldas_mean_veg,4,True,False,45.5,72,30,45,39
spei90_prism_nldas_min_gs,3,True,False,46.75,77,49,39,26
nldas_vpd_mean_silk,4,True,False,47.0,28,50,57,57
SPEI_30_mean,4,True,False,47.25,65,70,20,38
nlcd_forest_frac,4,True,False,48.5,45,38,59,56
Hist_Normal_Precip_growseason_mm,4,True,True,48.75,26,31,71,71
nldas_vpd_mean_grain,4,True,False,49.25,52,52,51,46
Rolling3yr_Precip_growseason_mm_mean,3,True,False,50.5,107,12,46,41
Inter_SPEI_Tmax,4,True,False,50.5,59,60,38,49
cdhw_max_severity_gs,3,True,False,51.0,37,89,42,40
nldas_et0_total_veg,4,True,False,51.5,62,45,53,50
nldas_vpd_mean_gs,4,True,False,51.5,55,63,48,44
spi12_prism_mean_gs,3,True,False,52.25,85,21,54,53
nldas_wind_mean_gs,3,True,False,52.5,92,6,61,55
prism_tmax_mean_veg,4,True,False,53.0,40,53,63,60
nldas_et0_total_gs,4,True,False,54.0,69,57,49,45
Fourier_cos_P7_0,2,True,True,54.5,81,88,31,22
nlcd_water_wetland_frac,3,True,False,55.0,84,16,62,62
Rolling2yr_Precip_growseason_mm_mean,3,True,False,55.0,83,25,58,58
soil_organic_carbon,3,True,True,55.25,91,24,56,54
Rolling3yr_Tmax_Days_Above_35_mean,4,True,False,55.75,32,71,65,59
nlcd_developed_frac,2,True,False,56.25,38,14,87,90
spei30_prism_nldas_min_grain,4,True,False,57.0,51,47,69,65
soil_silt,4,True,True,57.5,76,17,73,68
CDHW_Silking_Severity,3,True,True,58.0,35,108,29,64
spei30_prism_nldas_mean_grain,4,True,False,58.5,57,44,70,67
spi3_prism_mean_gs,4,True,False,58.75,58,65,55,61
cdhw_total_days_silk,3,True,False,59.5,30,105,35,72
CDHW_Event_Count,3,True,True,59.5,36,103,60,43
Precip_growseason_mm,3,True,True,60.25,89,58,47,51
Inter_Heat_Precip,2,True,False,61.75,7,76,84,84
spi1_prism_mean_gs,4,True,True,62.0,64,51,64,73
spei30_prism_nldas_max_gs,3,True,False,62.0,111,3,68,70
prism_ppt_total_grain,3,True,False,62.75,60,43,75,77
Anom_Precip_growseason_mm,3,True,False,63.0,43,55,72,86
nldas_et0_total_grain,1,False,False,64.0,18,80,79,83
prism_tmax_mean_gs,2,True,True,65.75,14,74,88,91
prism_tmax_mean_grain,2,True,False,66.0,16,66,92,94
spi1_prism_min_gs,3,True,True,66.0,102,29,74,63
pheno_silk_days,1,False,False,66.25,15,87,89,78
slope_mean,2,True,True,66.5,54,42,86,88
spi6_prism_mean_gs,4,True,False,66.75,53,67,76,75
spi1_prism_min_grain,1,False,False,67.0,79,26,82,85
Rolling2yr_Tmax_Days_Above_35_mean,1,False,False,68.75,21,77,94,87
nlcd_grass_shrub_frac,2,True,False,69.5,61,35,93,93
spi1_prism_min_veg,1,False,False,69.5,106,20,77,79
CDHW_Severity_silking,2,True,False,70.0,31,94,67,92
pheno_veg_days,3,True,False,70.25,70,83,66,66
soil_awc,2,True,True,70.75,87,39,85,76
spi12_prism_min_gs,1,False,False,73.0,105,33,78,80
spei30_prism_nldas_min_veg,1,False,False,73.5,94,41,81,82
spei30_prism_nldas_drought_days_gs,2,True,False,74.25,68,62,90,81
Tmax_Days_Above_35,1,True,True,75.5,9,97,101,99
elevation_std_m,1,False,False,77.25,95,34,95,89
cdhw_count_gs,1,False,False,80.25,44,104,80,97
SPEI_30_min,1,False,False,82.25,80,61,97,95
cdhw_max_duration_gs,1,False,False,83.75,29,109,100,101
Fourier_cos_P5_0,1,True,True,86.0,100,91,83,74
noaa_thunderstorm_wind_count_gs,1,True,True,87.25,88,69,98,98
cdhw_count_silk,1,False,False,87.5,49,101,102,102
Fourier_sin_P3_0,1,True,True,87.75,99,96,91,69
noaa_hail_count_gs,1,True,True,92.25,109,72,96,96
prism_tmax_days_gt35_grain,1,False,False,94.0,74,100,103,103
noaa_max_hail_size_gs,1,True,True,97.0,108,75,104,105
CDHW_Severity_grainfill,0,False,False,100.25,104,92,105,104
Fourier_cos_P3_0,0,True,True,102.25,112,102,99,100
prism_tmax_days_gt35_veg,0,False,False,102.25,93,106,108,106
CDHW_Severity_vegetative,0,False,False,104.5,98,99,112,113
CDHW_Veg_Severity,0,True,True,104.5,90,112,109,111
CDHW_GrainFill_Severity,0,True,True,106.25,103,113,106,107
noaa_tornado_count_gs,0,True,True,106.25,115,93,111,110
cdhw_total_days_veg,0,False,False,107.25,97,111,113,112
cdhw_count_grain,0,False,False,108.0,114,107,107,108
cdhw_total_days_grain,0,False,False,108.75,110,110,110,109
CDHW_Flag,0,True,True,110.75,101,116,115,115
cdhw_count_veg,0,False,False,112.75,113,114,114,114
Fourier_cos_P1_0,0,True,True,114.75,116,115,116,116
Fourier_sin_P1_0,0,True,True,116.0,117,117,117,117
