feature,votes,selected,protected,avg_rank,rank_mi,rank_lgbm,rank_rf,rank_perm
Yield_lag1,4,True,True,0.0,1,1,1,1
Yield_lag2,4,True,True,1.25,2,2,3,2
nldas_vpd_mean_veg,4,True,False,8.0,15,9,6,6
prism_tmax_mean_silk,4,True,False,13.5,4,49,2,3
spei30_prism_nldas_mean_silk,4,True,False,14.75,39,6,8,10
nldas_et0_total_silk,4,True,False,17.25,32,18,12,11
Fourier_sin_P19_0,4,True,True,18.0,3,63,5,5
nlcd_pasture_hay_frac,4,True,True,19.25,33,13,21,14
soil_bulk_density,4,True,True,20.0,52,17,7,8
nldas_rs_mean_gs,4,True,False,20.25,46,10,14,15
nlcd_cropland_frac,4,True,True,21.0,12,28,26,22
Fourier_sin_P11_0,4,True,True,22.0,5,71,9,7
spi1_prism_min_silk,4,True,False,22.0,55,5,16,16
prism_ppt_total_silk,4,True,False,26.25,69,3,19,18
prism_kdd30_gs,4,True,False,27.25,8,45,33,27
spi3_prism_min_gs,4,True,False,28.25,66,21,18,12
Fourier_cos_P19_0,4,True,True,30.5,6,76,25,19
prism_tmax_days_gt35_silk,3,True,False,31.0,9,91,11,17
nldas_et0_total_gs,4,True,False,31.75,50,51,17,13
Inter_CDHW_GDD,3,True,False,32.0,27,97,4,4
spei30_prism_nldas_mean_veg,4,True,False,32.25,49,19,35,30
prism_tmax_max_gs,4,True,True,32.5,13,33,43,45
nldas_et0_total_veg,4,True,False,33.0,40,46,30,20
prism_ppt_total_veg,4,True,False,34.0,68,14,32,26
Anom_GDD_Accumulated,3,True,False,34.25,85,7,24,25
Fourier_cos_P11_0,3,True,True,37.25,25,84,23,21
prism_tmin_min_gs,3,True,False,39.5,106,4,29,23
spei90_prism_nldas_mean_gs,4,True,False,40.5,53,56,22,35
SPEI_30_mean,4,True,False,41.0,58,73,13,24
prism_tmin_mean_gs,3,True,True,41.75,82,70,10,9
soil_clay,4,True,True,42.0,45,16,57,54
CDHW_Severity_Score,3,True,True,42.25,21,96,27,29
Fourier_sin_P7_0,3,True,True,42.5,18,82,41,33
nldas_vpd_mean_silk,4,True,False,43.25,30,44,51,52
Tmax_Days_Above_35,3,True,True,43.75,7,93,31,48
prism_heat_exceedance_total_gs,3,True,False,44.0,11,83,49,37
elevation_mean_m,3,True,True,46.5,80,22,45,43
spei30_prism_nldas_max_gs,3,True,False,46.5,104,12,42,32
nldas_vpd_mean_gs,4,True,False,46.75,36,68,46,41
spi6_prism_min_gs,4,True,False,46.75,38,20,69,64
soil_organic_carbon,3,True,True,47.0,88,37,36,31
spei30_prism_nldas_mean_grain,4,True,False,47.25,56,32,54,51
spei30_prism_nldas_min_silk,3,True,False,47.25,78,41,40,34
Inter_SPEI_Tmax,4,True,False,48.25,76,65,20,36
CDHW_Silking_Severity,3,True,True,48.75,29,109,15,46
CDHW_Severity_silking,3,True,False,50.0,24,92,28,60
nldas_vpd_mean_grain,4,True,False,50.25,60,53,48,44
Rolling3yr_Tmax_Days_Above_35_mean,4,True,False,50.5,47,75,44,40
Rolling3yr_GDD_Accumulated_mean,4,True,False,50.5,72,57,38,39
Precip_growseason_mm,4,True,True,51.75,63,60,50,38
Rolling3yr_Precip_growseason_mm_mean,3,True,False,53.0,96,15,55,50
prism_tmax_mean_veg,4,True,False,53.25,48,52,58,59
Fourier_sin_P5_0,3,True,True,53.75,67,87,37,28
Rolling2yr_GDD_Accumulated_mean,4,True,False,54.5,57,59,53,53
nldas_wind_mean_gs,4,True,False,54.75,65,11,76,71
spi1_prism_mean_gs,4,True,True,55.5,22,62,70,72
spei30_prism_nldas_drought_days_gs,4,True,False,55.5,54,54,61,57
spei30_prism_nldas_min_grain,4,True,False,55.75,62,48,59,58
Hist_Normal_GDD_Accumulated,3,True,True,55.75,14,64,68,81
nlcd_developed_frac,2,True,False,55.75,43,8,88,88
nlcd_forest_frac,3,True,False,56.25,41,38,72,78
spi6_prism_mean_gs,3,True,False,56.25,19,55,79,76
nldas_humidity_mean_gs,3,True,False,57.25,87,47,52,47
GDD_Accumulated,3,True,True,57.75,59,79,34,63
spi12_prism_mean_gs,4,True,False,58.0,73,27,66,70
CDHW_Event_Count,3,True,True,59.0,28,100,63,49
spei90_prism_nldas_min_gs,3,True,False,59.5,86,39,56,61
spi3_prism_mean_gs,4,True,False,59.75,35,61,73,74
spi1_prism_min_grain,2,True,False,60.0,61,24,80,79
Hist_Normal_Precip_growseason_mm,2,True,True,60.25,64,26,78,77
soil_silt,3,True,True,60.25,83,30,67,65
Rolling2yr_Precip_growseason_mm_mean,4,True,False,62.0,75,29,75,73
Fourier_cos_P7_0,2,True,True,62.5,84,81,47,42
prism_ppt_total_grain,4,True,False,63.25,74,34,74,75
cdhw_max_severity_gs,2,True,False,63.75,31,89,77,62
prism_tmax_mean_gs,2,True,True,65.0,20,72,85,87
Anom_Precip_growseason_mm,2,True,False,65.25,42,58,82,83
spei30_prism_nldas_min_veg,3,True,False,66.25,93,42,65,69
SPEI_30_min,3,True,False,66.5,97,66,39,68
spi12_prism_min_gs,1,False,False,66.75,77,31,83,80
spi1_prism_min_gs,3,True,True,68.25,103,36,71,67
Inter_Heat_Precip,1,False,False,68.75,10,88,91,90
prism_tmax_mean_grain,2,True,False,69.25,51,67,81,82
