method,axis,stratum,n,picp,mpiw,winkler,bias
static_conformal,all,all,2345,0.9488,3.6493,4.1473,-0.1011
static_conformal,year,2019,410,0.9659,3.6437,3.8729,0.0386
static_conformal,year,2020,532,0.9605,3.4544,4.0411,-0.0424
static_conformal,year,2022,491,0.9674,3.7046,3.9902,-0.3413
static_conformal,year,2023,462,0.9545,3.8789,4.4625,0.311
static_conformal,year,2021,450,0.8933,3.5889,4.3706,-0.459
static_conformal,state,Illinois,441,0.9524,3.57,3.8088,-0.4257
static_conformal,state,Indiana,386,0.956,3.519,3.7669,-0.2448
static_conformal,state,Iowa,451,0.9446,3.4998,4.2222,0.0277
static_conformal,state,Minnesota,345,0.942,3.8944,4.4525,-0.1076
static_conformal,state,Missouri,342,0.9152,3.9396,5.0432,0.2971
static_conformal,state,Ohio,380,0.9789,3.5674,3.7542,-0.0839
static_conformal,year_type,Normal,1717,0.9598,3.5617,3.8941,-0.143
static_conformal,year_type,Extreme,202,0.8762,4.08,5.9391,0.2225
static_conformal,year_type,Moderate,426,0.939,3.7981,4.3181,-0.0857
static_conformal,cdhw,none,1717,0.9598,3.5617,3.8941,-0.143
static_conformal,cdhw,severe,314,0.8917,4.033,5.4624,0.0452
static_conformal,cdhw,moderate,314,0.9459,3.7446,4.2165,-0.0183
static_conformal,drought_spei30_lt_-1,no_drought,149,0.953,3.5542,3.9264,0.0445
static_conformal,drought_spei30_lt_-1,drought,2196,0.9485,3.6558,4.1623,-0.111
static_conformal,heat_days_gt35,no_heat,1217,0.9622,3.5134,3.8268,-0.1406
static_conformal,heat_days_gt35,heat,1128,0.9344,3.796,4.4931,-0.0586
static_conformal,enso,El Nino,942,0.9628,3.5368,3.9679,-0.0071
static_conformal,enso,La Nina,1403,0.9394,3.7249,4.2677,-0.1642
standard_aci,all,all,2345,0.9296,3.4151,4.0788,-0.1011
standard_aci,year,2019,410,0.9659,3.6437,3.8729,0.0386
standard_aci,year,2020,532,0.9549,3.2631,3.932,-0.0424
standard_aci,year,2022,491,0.9348,3.4271,3.8494,-0.3413
standard_aci,year,2023,462,0.9351,3.538,4.3066,0.311
standard_aci,year,2021,450,0.8556,3.2473,4.4562,-0.459
standard_aci,state,Illinois,441,0.9206,3.3364,3.7584,-0.4257
standard_aci,state,Indiana,386,0.9352,3.2868,3.7019,-0.2448
standard_aci,state,Iowa,451,0.9357,3.2704,4.1022,0.0277
standard_aci,state,Minnesota,345,0.9188,3.6595,4.4035,-0.1076
standard_aci,state,Missouri,342,0.886,3.6968,5.1268,0.2971
standard_aci,state,Ohio,380,0.9763,3.3333,3.5676,-0.0839
standard_aci,year_type,Normal,1717,0.9458,3.3526,3.7955,-0.143
standard_aci,year_type,Extreme,202,0.8515,3.7697,6.0696,0.2225
standard_aci,year_type,Moderate,426,0.9014,3.4992,4.2767,-0.0857
standard_aci,cdhw,none,1717,0.9458,3.3526,3.7955,-0.143
standard_aci,cdhw,severe,314,0.8599,3.7184,5.5716,0.0452
standard_aci,cdhw,moderate,314,0.9108,3.454,4.1351,-0.0183
standard_aci,drought_spei30_lt_-1,no_drought,149,0.9463,3.5245,3.9085,0.0445
standard_aci,drought_spei30_lt_-1,drought,2196,0.9285,3.4077,4.0903,-0.111
standard_aci,heat_days_gt35,no_heat,1217,0.9523,3.3229,3.7318,-0.1406
standard_aci,heat_days_gt35,heat,1128,0.9051,3.5147,4.4532,-0.0586
standard_aci,enso,El Nino,942,0.9597,3.4288,3.9063,-0.0071
standard_aci,enso,La Nina,1403,0.9095,3.406,4.1946,-0.1642
sa_aci,all,all,2345,0.9194,3.3177,4.0751,-0.1011
sa_aci,year,2019,410,0.9659,3.6468,3.875,0.0386
sa_aci,year,2020,532,0.9549,3.2791,3.9422,-0.0424
sa_aci,year,2022,491,0.8961,3.0831,3.8082,-0.3413
sa_aci,year,2023,462,0.9307,3.4008,4.302,0.311
sa_aci,year,2021,450,0.8489,3.234,4.473,-0.459
sa_aci,state,Illinois,441,0.898,3.2438,3.8323,-0.4257
sa_aci,state,Indiana,386,0.9301,3.2011,3.6342,-0.2448
sa_aci,state,Iowa,451,0.9335,3.1625,4.0213,0.0277
sa_aci,state,Minnesota,345,0.9072,3.5546,4.4101,-0.1076
sa_aci,state,Missouri,342,0.8655,3.58,5.2665,0.2971
sa_aci,state,Ohio,380,0.9763,3.2546,3.4925,-0.0839
sa_aci,year_type,Normal,1717,0.9429,3.2992,3.7722,-0.143
sa_aci,year_type,Extreme,202,0.8069,3.4859,6.2553,0.2225
sa_aci,year_type,Moderate,426,0.8779,3.3123,4.2626,-0.0857
sa_aci,cdhw,none,1717,0.9429,3.2992,3.7722,-0.143
sa_aci,cdhw,severe,314,0.828,3.4557,5.6767,0.0452
sa_aci,cdhw,moderate,314,0.8822,3.2807,4.1303,-0.0183
sa_aci,drought_spei30_lt_-1,no_drought,149,0.9463,3.5261,3.9081,0.0445
sa_aci,drought_spei30_lt_-1,drought,2196,0.9176,3.3035,4.0865,-0.111
sa_aci,heat_days_gt35,no_heat,1217,0.9507,3.2965,3.7069,-0.1406
sa_aci,heat_days_gt35,heat,1128,0.8856,3.3404,4.4725,-0.0586
