test_year,model,method,fit_years,dev_years,cal_years,n_fit,n_cal,model_rmse,model_r2,model_bias,baseline_trend_county_rmse,baseline_trend_county_r2,seconds,stratum,n,picp,ace,mpiw,winkler,group_thresholds,group_fallbacks
2008,lgbm,rolling_static_cp,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,ALL,522,0.7758620689655172,-0.12413793103448278,2.8974286468433292,4.435927214998237,,
2008,lgbm,rolling_static_cp,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,Extreme,1,1.0,0.09999999999999998,3.896961502104495,3.896961502104495,,
2008,lgbm,rolling_static_cp,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,Moderate,4,1.0,0.09999999999999998,2.9160796116700176,2.9160796116700176,,
2008,lgbm,rolling_static_cp,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,Normal,517,0.7736943907156673,-0.12630560928433276,2.895351012966022,4.448728677524748,,
2008,lgbm,group_conditional_cp,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,ALL,522,0.7624521072796935,-0.13754789272030654,2.8544393600617837,4.492502897336382,,
2008,lgbm,group_conditional_cp,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,Extreme,1,1.0,0.09999999999999998,4.397319645105334,4.397319645105334,,
2008,lgbm,group_conditional_cp,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,Moderate,4,1.0,0.09999999999999998,2.7807130667925373,2.7807130667925373,,
2008,lgbm,group_conditional_cp,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,Normal,517,0.7601547388781431,-0.1398452611218569,2.8520254817020803,4.505931026106993,,
2008,lgbm,standard_aci,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,ALL,522,0.7758620689655172,-0.12413793103448278,2.8974286468433292,4.435927214998237,,
2008,lgbm,standard_aci,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,Extreme,1,1.0,0.09999999999999998,3.896961502104495,3.896961502104495,,
2008,lgbm,standard_aci,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,Moderate,4,1.0,0.09999999999999998,2.9160796116700176,2.9160796116700176,,
2008,lgbm,standard_aci,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,Normal,517,0.7736943907156673,-0.12630560928433276,2.895351012966022,4.448728677524748,,
2008,lgbm,sa_aci,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,ALL,522,0.7681992337164751,-0.13180076628352488,2.874346376037747,4.466188306933423,,
2008,lgbm,sa_aci,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,Extreme,1,1.0,0.09999999999999998,3.9547181162563803,3.9547181162563803,,
2008,lgbm,sa_aci,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,Moderate,4,1.0,0.09999999999999998,2.9331831449473365,2.9331831449473365,,
2008,lgbm,sa_aci,1985-2003,2004-2005,2006-2007,10539.0,1052.0,0.9371,0.6058,0.4765,1.1894,0.3649,89.0,Normal,517,0.7659574468085106,-0.1340425531914894,2.8718014653687773,4.479038385924954,,
2008,lgbm,_group_cp_meta,,,,,,,,,,,,ALL,522,,,,,"{""Extreme"": 0.8485, ""Moderate"": 0.5306, ""Normal"": 0.5766}","{""Extreme"": false, ""Moderate"": false, ""Normal"": false}"
2009,lgbm,rolling_static_cp,1985-2004,2005-2006,2007-2008,11072.0,1051.0,1.0657,0.2478,0.7517,1.1336,0.1488,77.0,ALL,524,0.9122137404580153,0.012213740458015265,3.1950308125834983,3.5838117971697736,,
2009,lgbm,rolling_static_cp,1985-2004,2005-2006,2007-2008,11072.0,1051.0,1.0657,0.2478,0.7517,1.1336,0.1488,77.0,Moderate,10,0.8,-0.09999999999999998,3.1966571038928455,4.3098598471513085,,
2009,lgbm,rolling_static_cp,1985-2004,2005-2006,2007-2008,11072.0,1051.0,1.0657,0.2478,0.7517,1.1336,0.1488,77.0,Normal,514,0.914396887159533,0.014396887159533023,3.194999172674756,3.5696863487265533,,
2009,lgbm,group_conditional_cp,1985-2004,2005-2006,2007-2008,11072.0,1051.0,1.0657,0.2478,0.7517,1.1336,0.1488,77.0,ALL,524,0.9083969465648855,0.008396946564885432,3.20894238938096,3.6006484291169913,,
2009,lgbm,group_conditional_cp,1985-2004,2005-2006,2007-2008,11072.0,1051.0,1.0657,0.2478,0.7517,1.1336,0.1488,77.0,Moderate,10,0.6,-0.30000000000000004,2.756012726435322,5.023711785073253,,
2009,lgbm,group_conditional_cp,1985-2004,2005-2006,2007-2008,11072.0,1051.0,1.0657,0.2478,0.7517,1.1336,0.1488,77.0,Normal,514,0.914396887159533,0.014396887159533023,3.217754250527762,3.5729623716081145,,
2009,lgbm,standard_aci,1985-2004,2005-2006,2007-2008,11072.0,1051.0,1.0657,0.2478,0.7517,1.1336,0.1488,77.0,ALL,524,0.9122137404580153,0.012213740458015265,3.1950308125834983,3.5838117971697736,,
2009,lgbm,standard_aci,1985-2004,2005-2006,2007-2008,11072.0,1051.0,1.0657,0.2478,0.7517,1.1336,0.1488,77.0,Moderate,10,0.8,-0.09999999999999998,3.1966571038928455,4.3098598471513085,,
2009,lgbm,standard_aci,1985-2004,2005-2006,2007-2008,11072.0,1051.0,1.0657,0.2478,0.7517,1.1336,0.1488,77.0,Normal,514,0.914396887159533,0.014396887159533023,3.194999172674756,3.5696863487265533,,
2009,lgbm,sa_aci,1985-2004,2005-2006,2007-2008,11072.0,1051.0,1.0657,0.2478,0.7517,1.1336,0.1488,77.0,ALL,524,0.9064885496183206,0.0064885496183205715,3.1615883598774825,3.5798907738138976,,
2009,lgbm,sa_aci,1985-2004,2005-2006,2007-2008,11072.0,1051.0,1.0657,0.2478,0.7517,1.1336,0.1488,77.0,Moderate,10,0.8,-0.09999999999999998,3.210122252279831,4.296394698764324,,
2009,lgbm,sa_aci,1985-2004,2005-2006,2007-2008,11072.0,1051.0,1.0657,0.2478,0.7517,1.1336,0.1488,77.0,Normal,514,0.9085603112840467,0.008560311284046662,3.160644120725686,3.5659510087370414,,
2009,lgbm,_group_cp_meta,,,,,,,,,,,,ALL,524,,,,,"{""Moderate"": 0.4868, ""Normal"": 0.7185}","{""Moderate"": false, ""Normal"": false}"
2010,lgbm,rolling_static_cp,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,ALL,536,0.8955223880597015,-0.004477611940298498,3.183845773115547,4.402276379485981,,
2010,lgbm,rolling_static_cp,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,Extreme,31,0.9032258064516129,0.003225806451612856,3.698080948141125,5.534527063219343,,
2010,lgbm,rolling_static_cp,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,Moderate,33,0.9393939393939394,0.039393939393939426,3.3044297362867505,4.739388067119073,,
2010,lgbm,rolling_static_cp,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,Normal,472,0.8919491525423728,-0.008050847457627186,3.141641194279863,4.304343208113891,,
2010,lgbm,group_conditional_cp,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,ALL,536,0.8936567164179104,-0.006343283582089576,3.172114932431626,4.403356247057309,,
2010,lgbm,group_conditional_cp,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,Extreme,31,0.9032258064516129,0.003225806451612856,3.698080948141125,5.534527063219343,,
2010,lgbm,group_conditional_cp,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,Moderate,33,0.9393939393939394,0.039393939393939426,3.3044297362867505,4.739388067119073,,
2010,lgbm,group_conditional_cp,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,Normal,472,0.8898305084745762,-0.01016949152542379,3.128319731130326,4.305569498406755,,
2010,lgbm,standard_aci,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,ALL,536,0.8955223880597015,-0.004477611940298498,3.183845773115547,4.402276379485981,,
2010,lgbm,standard_aci,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,Extreme,31,0.9032258064516129,0.003225806451612856,3.698080948141125,5.534527063219343,,
2010,lgbm,standard_aci,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,Moderate,33,0.9393939393939394,0.039393939393939426,3.3044297362867505,4.739388067119073,,
2010,lgbm,standard_aci,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,Normal,472,0.8919491525423728,-0.008050847457627186,3.141641194279863,4.304343208113891,,
2010,lgbm,sa_aci,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,ALL,536,0.8955223880597015,-0.004477611940298498,3.195279252529557,4.403800466603674,,
2010,lgbm,sa_aci,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,Extreme,31,0.9032258064516129,0.003225806451612856,3.8332510737055103,5.530068004334752,,
2010,lgbm,sa_aci,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,Moderate,33,0.9393939393939394,0.039393939393939426,3.363159162753823,4.768331749558643,,
2010,lgbm,sa_aci,1985-2005,2006-2007,2008-2009,11611.0,1046.0,1.1416,0.5304,-0.5497,1.261,0.4271,82.3,Normal,472,0.8919491525423728,-0.008050847457627186,3.141641194279863,4.304343208113891,,
2010,lgbm,_group_cp_meta,,,,,,,,,,,,ALL,536,,,,,"{""Extreme"": 0.709, ""Moderate"": 0.709, ""Normal"": 0.7024}","{""Extreme"": true, ""Moderate"": true, ""Normal"": false}"
2011,lgbm,rolling_static_cp,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,ALL,506,0.9051383399209486,0.005138339920948587,3.2500489284857337,4.59397150991789,,
2011,lgbm,rolling_static_cp,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,Extreme,239,0.8451882845188284,-0.054811715481171586,3.2436418181368145,5.683483345595225,,
2011,lgbm,rolling_static_cp,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,Moderate,87,0.9885057471264368,0.08850574712643677,3.192554399739764,3.469352303329224,,
2011,lgbm,rolling_static_cp,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,Normal,180,0.9444444444444444,0.0444444444444444,3.2863451694540182,3.690907855730839,,
2011,lgbm,group_conditional_cp,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,ALL,506,0.9545454545454546,0.054545454545454564,4.006264961959541,4.659300293546808,,
2011,lgbm,group_conditional_cp,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,Extreme,239,0.9497907949790795,0.049790794979079456,4.800941085306031,5.784763730574573,,
2011,lgbm,group_conditional_cp,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,Moderate,87,0.9885057471264368,0.08850574712643677,3.3022646032710843,3.566452138638555,,
2011,lgbm,group_conditional_cp,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,Normal,180,0.9444444444444444,0.0444444444444444,3.2913785048822346,3.693144893698934,,
2011,lgbm,standard_aci,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,ALL,506,0.9051383399209486,0.005138339920948587,3.2500489284857337,4.59397150991789,,
2011,lgbm,standard_aci,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,Extreme,239,0.8451882845188284,-0.054811715481171586,3.2436418181368145,5.683483345595225,,
2011,lgbm,standard_aci,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,Moderate,87,0.9885057471264368,0.08850574712643677,3.192554399739764,3.469352303329224,,
2011,lgbm,standard_aci,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,Normal,180,0.9444444444444444,0.0444444444444444,3.2863451694540182,3.690907855730839,,
2011,lgbm,sa_aci,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,ALL,506,0.9130434782608695,0.01304347826086949,3.322633892125361,4.547561341217078,,
2011,lgbm,sa_aci,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,Extreme,239,0.8619246861924686,-0.038075313807531375,3.3735106052395145,5.564618369975068,,
2011,lgbm,sa_aci,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,Moderate,87,0.9885057471264368,0.08850574712643677,3.257949244384661,3.525963611497113,,
2011,lgbm,sa_aci,1985-2006,2007-2008,2009-2010,12134.0,1060.0,1.0414,0.6596,-0.3646,1.4374,0.3516,81.7,Normal,180,0.9444444444444444,0.0444444444444444,3.2863451694540182,3.690907855730839,,
2011,lgbm,_group_cp_meta,,,,,,,,,,,,ALL,506,,,,,"{""Extreme"": 1.4742, ""Moderate"": 0.7504, ""Normal"": 0.6981}","{""Extreme"": false, ""Moderate"": false, ""Normal"": false}"
2012,lgbm,rolling_static_cp,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,ALL,510,0.6392156862745098,-0.26078431372549027,4.294195629335131,12.906369381806332,,
2012,lgbm,rolling_static_cp,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,Extreme,448,0.5982142857142857,-0.3017857142857143,4.30985237818397,14.04786863162761,,
2012,lgbm,rolling_static_cp,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,Moderate,25,0.92,0.020000000000000018,3.962821265892263,4.372976207558296,,
2012,lgbm,rolling_static_cp,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,Normal,37,0.9459459459459459,0.04594594594594592,4.328523618572755,4.85077925846225,,
2012,lgbm,group_conditional_cp,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,ALL,510,0.6725490196078432,-0.22745098039215683,4.630712160035446,11.908202891762182,,
2012,lgbm,group_conditional_cp,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,Extreme,448,0.6450892857142857,-0.2549107142857143,4.731105878594697,12.868175762923524,,
2012,lgbm,group_conditional_cp,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,Moderate,25,0.76,-0.14,3.2110302611914174,5.119294570222378,,
2012,lgbm,group_conditional_cp,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,Normal,37,0.9459459459459459,0.04594594594594592,4.3743786885910145,4.871847804146315,,
2012,lgbm,standard_aci,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,ALL,510,0.6392156862745098,-0.26078431372549027,4.294195629335131,12.906369381806332,,
2012,lgbm,standard_aci,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,Extreme,448,0.5982142857142857,-0.3017857142857143,4.30985237818397,14.04786863162761,,
2012,lgbm,standard_aci,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,Moderate,25,0.92,0.020000000000000018,3.962821265892263,4.372976207558296,,
2012,lgbm,standard_aci,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,Normal,37,0.9459459459459459,0.04594594594594592,4.328523618572755,4.85077925846225,,
2012,lgbm,sa_aci,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,ALL,510,0.6509803921568628,-0.24901960784313726,4.413671547626077,12.439687473194022,,
2012,lgbm,sa_aci,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,Extreme,448,0.6138392857142857,-0.2861607142857143,4.450804935014843,13.517655848571886,,
2012,lgbm,sa_aci,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,Moderate,25,0.92,0.020000000000000018,3.967102738935172,4.385585337489469,,
2012,lgbm,sa_aci,1985-2007,2008-2009,2010-2011,12663.0,1042.0,1.9623,0.43,-0.9874,3.8468,-1.1904,80.0,Normal,37,0.918918918918919,0.018918918918918948,4.265792160250537,4.829490749500283,,
2012,lgbm,_group_cp_meta,,,,,,,,,,,,ALL,510,,,,,"{""Extreme"": 0.9968, ""Moderate"": 0.4103, ""Normal"": 0.8091}","{""Extreme"": false, ""Moderate"": false, ""Normal"": false}"
2013,lgbm,rolling_static_cp,1985-2008,2009-2010,2011-2012,13185.0,1016.0,1.0033,0.566,0.3386,1.0573,0.518,84.5,ALL,490,0.9938775510204082,0.09387755102040818,5.577595854607594,5.606415917648987,,
2013,lgbm,rolling_static_cp,1985-2008,2009-2010,2011-2012,13185.0,1016.0,1.0033,0.566,0.3386,1.0573,0.518,84.5,Extreme,138,0.9855072463768116,0.08550724637681162,5.7180018525316,5.817709795437187,,
2013,lgbm,rolling_static_cp,1985-2008,2009-2010,2011-2012,13185.0,1016.0,1.0033,0.566,0.3386,1.0573,0.518,84.5,Moderate,153,1.0,0.09999999999999998,5.377557219338077,5.377557219338077,,
2013,lgbm,rolling_static_cp,1985-2008,2009-2010,2011-2012,13185.0,1016.0,1.0033,0.566,0.3386,1.0573,0.518,84.5,Normal,199,0.9949748743718593,0.09497487437185925,5.634027429897663,5.6358472026077715,,
2013,lgbm,group_conditional_cp,1985-2008,2009-2010,2011-2012,13185.0,1016.0,1.0033,0.566,0.3386,1.0573,0.518,84.5,ALL,490,0.9204081632653062,0.020408163265306145,3.910007095871898,4.481234569244047,,
2013,lgbm,group_conditional_cp,1985-2008,2009-2010,2011-2012,13185.0,1016.0,1.0033,0.566,0.3386,1.0573,0.518,84.5,Extreme,138,0.9927536231884058,0.09275362318840574,6.641281843103236,6.649330603996042,,
2013,lgbm,group_conditional_cp,1985-2008,2009-2010,2011-2012,13185.0,1016.0,1.0033,0.566,0.3386,1.0573,0.518,84.5,Moderate,153,0.9673202614379085,0.06732026143790848,2.959142100216089,3.222823398581437,,
2013,lgbm,group_conditional_cp,1985-2008,2009-2010,2011-2012,13185.0,1016.0,1.0033,0.566,0.3386,1.0573,0.518,84.5,Normal,199,0.8341708542713567,-0.06582914572864329,2.7470243281202102,3.9452529426892915,,
2013,lgbm,standard_aci,1985-2008,2009-2010,2011-2012,13185.0,1016.0,1.0033,0.566,0.3386,1.0573,0.518,84.5,ALL,490,0.9938775510204082,0.09387755102040818,5.577595854607594,5.606415917648987,,
2013,lgbm,standard_aci,1985-2008,2009-2010,2011-2012,13185.0,1016.0,1.0033,0.566,0.3386,1.0573,0.518,84.5,Extreme,138,0.9855072463768116,0.08550724637681162,5.7180018525316,5.817709795437187,,
