seed,test_year,model_r2,baseline_trend_county_r2,model_bias,beats_baseline
42,2008,0.6058,0.3649,0.4765,True
42,2009,0.2478,0.1488,0.7517,True
42,2010,0.5304,0.4271,-0.5497,True
42,2011,0.6596,0.3516,-0.3646,True
42,2012,0.43,-1.1904,-0.9874,True
42,2013,0.566,0.518,0.3386,True
42,2014,0.541,0.2155,0.3298,True
42,2015,0.4131,0.4067,-0.561,True
42,2016,0.7249,0.4035,0.3288,True
42,2017,0.5043,-0.025,0.7943,True
42,2018,0.5883,0.2011,0.6479,True
42,2019,0.7118,0.5521,-0.0108,True
42,2020,0.6195,0.4514,0.0474,True
42,2021,0.7045,0.5492,-0.1732,True
42,2022,0.7691,0.5764,-0.0116,True
42,2023,0.7428,0.5775,-0.4437,True
7,2008,0.5775,0.3649,0.509,True
7,2009,0.348,0.1488,0.6997,True
7,2010,0.5597,0.4271,-0.5008,True
7,2011,0.6933,0.3516,-0.2581,True
7,2012,0.406,-1.1904,-1.0868,True
7,2013,0.618,0.518,0.2748,True
7,2014,0.5566,0.2155,0.2717,True
7,2015,0.4203,0.4067,-0.522,True
7,2016,0.7394,0.4035,0.2794,True
7,2017,0.4569,-0.025,0.8574,True
7,2018,0.5705,0.2011,0.6719,True
7,2019,0.7039,0.5521,-0.1026,True
7,2020,0.627,0.4514,0.0339,True
7,2021,0.7081,0.5492,-0.0885,True
7,2022,0.7795,0.5764,0.0065,True
7,2023,0.7476,0.5775,-0.4583,True
123,2008,0.5934,0.3649,0.4567,True
123,2009,0.208,0.1488,0.8014,True
123,2010,0.5378,0.4271,-0.4841,True
123,2011,0.6626,0.3516,-0.2629,True
123,2012,0.4013,-1.1904,-1.0951,True
123,2013,0.5765,0.518,0.3266,True
123,2014,0.5327,0.2155,0.2625,True
123,2015,0.4575,0.4067,-0.4522,True
123,2016,0.7307,0.4035,0.3217,True
123,2017,0.5019,-0.025,0.7963,True
123,2018,0.5557,0.2011,0.7246,True
123,2019,0.6944,0.5521,-0.0549,True
123,2020,0.6171,0.4514,0.0397,True
123,2021,0.7038,0.5492,-0.1176,True
123,2022,0.7847,0.5764,-0.0339,True
123,2023,0.7566,0.5775,-0.4259,True
2024,2008,0.5913,0.3649,0.4623,True
2024,2009,0.1896,0.1488,0.8337,True
2024,2010,0.5655,0.4271,-0.44,True
2024,2011,0.6688,0.3516,-0.3423,True
2024,2012,0.4269,-1.1904,-0.9829,True
2024,2013,0.6116,0.518,0.2588,True
2024,2014,0.517,0.2155,0.2849,True
2024,2015,0.4245,0.4067,-0.5211,True
2024,2016,0.7282,0.4035,0.3252,True
2024,2017,0.4589,-0.025,0.8421,True
2024,2018,0.539,0.2011,0.7197,True
2024,2019,0.7111,0.5521,-0.0308,True
2024,2020,0.6249,0.4514,0.052,True
2024,2021,0.7058,0.5492,-0.0986,True
2024,2022,0.7768,0.5764,-0.059,True
2024,2023,0.7511,0.5775,-0.4203,True
3407,2008,0.5881,0.3649,0.459,True
3407,2009,0.2806,0.1488,0.7564,True
3407,2010,0.5551,0.4271,-0.5166,True
3407,2011,0.6929,0.3516,-0.2611,True
3407,2012,0.4218,-1.1904,-1.0347,True
3407,2013,0.5836,0.518,0.3315,True
3407,2014,0.4762,0.2155,0.4182,True
3407,2015,0.4243,0.4067,-0.5419,True
3407,2016,0.7267,0.4035,0.3116,True
3407,2017,0.4411,-0.025,0.8621,True
3407,2018,0.5668,0.2011,0.6595,True
3407,2019,0.7059,0.5521,-0.0349,True
3407,2020,0.6294,0.4514,0.0137,True
3407,2021,0.7119,0.5492,-0.1005,True
3407,2022,0.7795,0.5764,0.0075,True
3407,2023,0.759,0.5775,-0.4003,True
