test_year,r2_mean,r2_sd,r2_min,r2_max,baseline,worst_margin
2008,0.59122,0.01019,0.5775,0.6058,0.3649,0.2126
2009,0.2548,0.062933,0.1896,0.348,0.1488,0.0408
2010,0.5497,0.014941,0.5304,0.5655,0.4271,0.1033
2011,0.67544,0.01646,0.6596,0.6933,0.3516,0.308
2012,0.4172,0.012819,0.4013,0.43,-1.1904,1.5917
2013,0.59114,0.022601,0.566,0.618,0.518,0.048
2014,0.5247,0.030655,0.4762,0.5566,0.2155,0.2607
2015,0.42794,0.017157,0.4131,0.4575,0.4067,0.0064
2016,0.72998,0.005679,0.7249,0.7394,0.4035,0.3214
2017,0.47262,0.028678,0.4411,0.5043,-0.025,0.4661
2018,0.56406,0.018265,0.539,0.5883,0.2011,0.3379
2019,0.70542,0.007017,0.6944,0.7118,0.5521,0.1423
2020,0.62358,0.005147,0.6171,0.6294,0.4514,0.1657
2021,0.70682,0.003278,0.7038,0.7119,0.5492,0.1546
2022,0.77792,0.005701,0.7691,0.7847,0.5764,0.1927
2023,0.75142,0.006582,0.7428,0.759,0.5775,0.1653
