Score_Index,NonConformity_Score,Year,GEOID,Target_Yield
0,0.3148,2016,17001,12.1074
1,-0.2356,2017,17001,12.0509
2,0.4914,2018,17001,12.4021
3,-0.522,2016,17003,8.2451
4,-0.8441,2017,17003,9.9944
5,0.5824,2018,17003,11.8127
6,-0.0661,2017,17005,10.7029
7,-0.1629,2016,17007,12.3832
8,0.4398,2017,17007,11.9067
9,-0.2682,2018,17007,12.1701
10,-0.4468,2016,17009,11.4302
11,-0.149,2017,17009,11.8315
12,-0.4432,2018,17009,11.7813
13,-0.0725,2016,17011,12.7845
14,0.5921,2017,17011,13.5056
15,0.5196,2018,17011,13.4241
16,-0.9134,2017,17013,9.7812
17,1.769,2016,17015,14.5401
18,1.9124,2017,17015,14.9226
19,0.41,2018,17015,13.6122
20,0.0947,2016,17017,12.6842
21,-0.8567,2017,17017,12.2077
22,0.7105,2018,17017,14.0134
23,0.6052,2016,17019,13.1795
24,0.0035,2017,17019,12.9664
25,0.9527,2018,17019,13.8755
26,-0.2372,2016,17021,12.7406
27,0.443,2017,17021,13.794
28,1.1267,2018,17021,14.6028
29,0.0212,2017,17023,11.6559
30,1.2222,2018,17023,12.7594
31,-0.6786,2016,17025,9.6683
32,0.6371,2017,17025,7.4989
33,0.9323,2018,17025,11.8691
34,-0.2968,2016,17027,9.7122
35,-1.0754,2017,17027,9.8752
36,-0.0062,2018,17027,11.587
37,0.7468,2017,17029,13.0604
38,2.147,2018,17029,14.6906
39,-0.4885,2016,17031,10.659
40,-0.521,2017,17033,10.8158
41,1.2355,2018,17033,12.1826
42,-0.3131,2016,17035,11.1857
43,-0.1249,2017,17035,11.3612
44,0.79,2016,17037,13.5181
45,0.3318,2017,17037,12.7971
46,-0.6231,2018,17037,11.9318
47,0.7144,2016,17039,13.4492
48,-0.7759,2017,17039,12.609
49,0.797,2018,17039,14.1075
50,0.3005,2016,17041,13.0792
51,0.0531,2017,17041,13.2861
52,2.2975,2018,17041,15.4242
53,-0.4005,2016,17045,12.1262
54,0.0152,2017,17045,12.9413
55,0.6746,2018,17045,13.3614
56,-0.3013,2016,17047,8.8783
57,-0.4519,2017,17047,10.7468
58,-0.2967,2018,17047,10.5712
59,-0.4077,2016,17049,10.1699
60,1.0223,2017,17049,11.8378
61,2.9605,2018,17049,14.747
62,-0.2573,2016,17051,10.2201
63,-0.3883,2017,17051,10.6778
64,0.6261,2016,17053,12.7908
