feature,wasserstein_distance,ks_statistic,ks_p_value,psi,drift_category,significant_shift
Fourier_sin_P19_0,0.6469,0.6163,0.0,4.9549,Severe Drift,True
Fourier_cos_P19_0,0.4706,0.5139,0.0,3.9427,Severe Drift,True
Fourier_sin_P11_0,0.458,0.4829,0.0,3.6548,Severe Drift,True
Yield_lag2,1.1203,0.4798,0.0,2.4181,Severe Drift,True
Yield_lag1,1.1645,0.5446,0.0,2.2956,Severe Drift,True
Fourier_sin_P7_0,0.1913,0.2376,0.0,2.0811,Severe Drift,True
nldas_rs_mean_gs,0.6145,0.3886,0.0,1.02,Severe Drift,True
Anom_GDD_Accumulated,0.3444,0.2575,0.0,0.8337,Severe Drift,True
spei30_prism_nldas_min_grain,0.5599,0.3702,0.0,0.6553,Severe Drift,True
nldas_et0_total_silk,0.3023,0.1658,0.0,0.4892,Severe Drift,True
Rolling3yr_Precip_growseason_mm_mean,0.4711,0.2762,0.0,0.4075,Severe Drift,True
nldas_vpd_mean_gs,0.2738,0.2187,0.0,0.4071,Severe Drift,True
spi12_prism_mean_gs,0.498,0.2377,0.0,0.3789,Severe Drift,True
spi12_prism_min_gs,0.507,0.2398,0.0,0.3717,Severe Drift,True
nldas_vpd_mean_grain,0.3749,0.2781,0.0,0.3681,Severe Drift,True
Rolling3yr_Tmax_Days_Above_35_mean,0.4002,0.2196,0.0,0.3432,Severe Drift,True
SPEI_30_min,0.3638,0.2662,0.0,0.3283,Severe Drift,True
spi6_prism_min_gs,0.397,0.2096,0.0,0.3166,Severe Drift,True
nldas_vpd_mean_silk,0.2991,0.1706,0.0,0.2966,Severe Drift,True
Inter_SPEI_Tmax,0.3109,0.2374,0.0,0.2603,Severe Drift,True
prism_kdd30_gs,0.2179,0.1154,0.0,0.2514,Severe Drift,True
Rolling2yr_Tmax_Days_Above_35_mean,0.357,0.1738,0.0,0.2284,Moderate Drift,True
prism_tmax_mean_silk,0.2137,0.1208,0.0,0.2191,Moderate Drift,True
prism_tmax_days_gt35_silk,0.4508,0.1579,0.0,0.2058,Moderate Drift,True
spei30_prism_nldas_mean_grain,0.2957,0.2027,0.0,0.1983,Moderate Drift,True
spi6_prism_mean_gs,0.2838,0.1586,0.0,0.1829,Moderate Drift,True
spi3_prism_min_gs,0.2832,0.1873,0.0,0.1821,Moderate Drift,True
prism_tmax_max_gs,0.1905,0.1047,0.0,0.1767,Moderate Drift,True
prism_tmin_min_gs,0.1523,0.1194,0.0,0.1763,Moderate Drift,True
nldas_et0_total_veg,0.1488,0.1408,0.0,0.1648,Moderate Drift,True
Rolling2yr_Precip_growseason_mm_mean,0.2818,0.1728,0.0,0.1564,Moderate Drift,True
CDHW_Event_Count,1.1688,0.0909,0.0,0.1555,Moderate Drift,True
noaa_max_hail_size_gs,0.0547,0.0735,0.0,0.1463,Moderate Drift,True
spei30_prism_nldas_drought_days_gs,0.1971,0.1563,0.0,0.1336,Moderate Drift,True
Tmax_Days_Above_35,0.3289,0.1179,0.0,0.1318,Moderate Drift,True
prism_heat_exceedance_total_gs,0.7529,0.1137,0.0,0.1306,Moderate Drift,True
spi3_prism_mean_gs,0.2453,0.1412,0.0,0.1287,Moderate Drift,True
spi1_prism_min_grain,0.2276,0.1524,0.0,0.1285,Moderate Drift,True
CDHW_Severity_Score,6.8707,0.0835,0.0,0.1265,Moderate Drift,True
prism_ppt_total_silk,0.1989,0.142,0.0,0.1239,Moderate Drift,True
cdhw_max_severity_gs,3.5094,0.0851,0.0,0.1219,Moderate Drift,True
noaa_thunderstorm_wind_count_gs,0.3869,0.1312,0.0,0.1137,Moderate Drift,True
nldas_wind_mean_gs,0.2454,0.1478,0.0,0.1112,Moderate Drift,True
nldas_vpd_mean_veg,0.1357,0.1069,0.0,0.1111,Moderate Drift,True
prism_tmax_mean_veg,0.1648,0.1357,0.0,0.1093,Moderate Drift,True
Fourier_cos_P7_0,0.1311,0.1464,0.0,0.0871,Low Drift,True
spei30_prism_nldas_min_silk,0.1771,0.1088,0.0,0.0865,Low Drift,True
spei90_prism_nldas_min_gs,0.0787,0.078,0.0,0.0773,Low Drift,True
cdhw_total_days_silk,0.7866,0.0721,0.0,0.0726,Low Drift,True
Fourier_cos_P11_0,0.0705,0.1053,0.0,0.0714,Low Drift,True
prism_ppt_total_grain,0.1065,0.1055,0.0,0.0709,Low Drift,True
CDHW_GrainFill_Severity,1.1937,0.0658,0.0,0.0667,Low Drift,True
spi1_prism_min_silk,0.1643,0.0941,0.0,0.06,Low Drift,True
spei30_prism_nldas_min_veg,0.0782,0.0696,0.0,0.0598,Low Drift,True
CDHW_Silking_Severity,3.3594,0.0711,0.0,0.0577,Low Drift,True
CDHW_Severity_silking,3.3594,0.0711,0.0,0.0577,Low Drift,True
Fourier_sin_P3_0,0.0774,0.1145,0.0,0.0568,Low Drift,True
prism_ppt_total_veg,0.1243,0.0936,0.0,0.0564,Low Drift,True
prism_tmin_mean_gs,0.1629,0.1029,0.0,0.0563,Low Drift,True
prism_tmax_mean_gs,0.0649,0.054,1.3e-05,0.0406,Low Drift,True
prism_tmax_mean_grain,0.1162,0.0817,0.0,0.0383,Low Drift,True
spei90_prism_nldas_mean_gs,0.0518,0.046,0.000337,0.0343,Low Drift,True
Anom_Precip_growseason_mm,0.0884,0.0544,1.1e-05,0.0286,Low Drift,True
spei30_prism_nldas_mean_veg,0.0646,0.0434,0.000898,0.0256,Low Drift,True
Precip_growseason_mm,0.0805,0.0553,7e-06,0.0253,Low Drift,True
noaa_hail_count_gs,0.1062,0.0676,0.0,0.0232,Low Drift,True
spi1_prism_min_veg,0.0766,0.0584,2e-06,0.0219,Low Drift,True
nldas_humidity_mean_gs,0.0767,0.0493,9.4e-05,0.0218,Low Drift,True
spei30_prism_nldas_mean_silk,0.0486,0.0366,0.008199,0.0058,Low Drift,True
spi1_prism_min_gs,0.0283,0.0267,0.106172,0.0047,Low Drift,False
county_baseline,0.0411,0.0299,0.050598,0.0047,Low Drift,False
nlcd_developed_frac,0.0673,0.0244,0.171424,0.0043,Low Drift,False
Hist_Normal_Precip_growseason_mm,0.0494,0.0241,0.183365,0.0039,Low Drift,False
noaa_tornado_count_gs,0.0749,0.0254,0.141991,0.0036,Low Drift,False
slope_mean,0.0296,0.0242,0.17837,0.0033,Low Drift,False
Hist_Normal_GDD_Accumulated,0.0295,0.0231,0.223522,0.0029,Low Drift,False
nlcd_pasture_hay_frac,0.0469,0.0205,0.350808,0.0026,Low Drift,False
nlcd_cropland_frac,0.0278,0.0213,0.308111,0.0024,Low Drift,False
nlcd_grass_shrub_frac,0.0367,0.0215,0.29598,0.0023,Low Drift,False
soil_bulk_density,0.0245,0.0191,0.443807,0.0022,Low Drift,False
Fourier_sin_P5_0,0.0138,0.0146,0.773715,0.002,Low Drift,False
soil_awc,0.0227,0.0147,0.763074,0.0018,Low Drift,False
nlcd_forest_frac,0.0354,0.0182,0.502906,0.0016,Low Drift,False
soil_clay,0.0132,0.0082,0.999007,0.0015,Low Drift,False
