state,weight_neuralcqr,weight_lightgbm,dev_r2,dev_rmse,dev_mae,selection_partition,is_selected
Illinois,0.0,1.0,0.4173,1.2356,0.9893,LOSO_DEV_2014_2015,False
Illinois,0.1,0.9,0.4278,1.2244,0.981,LOSO_DEV_2014_2015,False
Illinois,0.2,0.8,0.4364,1.2151,0.9746,LOSO_DEV_2014_2015,False
Illinois,0.3,0.7,0.4431,1.2079,0.9701,LOSO_DEV_2014_2015,False
Illinois,0.4,0.6,0.4479,1.2027,0.9676,LOSO_DEV_2014_2015,False
Illinois,0.5,0.5,0.4507,1.1996,0.9662,LOSO_DEV_2014_2015,False
Illinois,0.6,0.4,0.4517,1.1986,0.9657,LOSO_DEV_2014_2015,True
Illinois,0.7,0.3,0.4507,1.1997,0.9662,LOSO_DEV_2014_2015,False
Illinois,0.8,0.2,0.4478,1.2028,0.9685,LOSO_DEV_2014_2015,False
Illinois,0.9,0.1,0.443,1.208,0.9731,LOSO_DEV_2014_2015,False
Illinois,1.0,0.0,0.4363,1.2153,0.9793,LOSO_DEV_2014_2015,False
Indiana,0.0,1.0,0.5142,1.1648,0.9213,LOSO_DEV_2014_2015,False
Indiana,0.1,0.9,0.5225,1.1548,0.9159,LOSO_DEV_2014_2015,False
Indiana,0.2,0.8,0.5283,1.1478,0.9142,LOSO_DEV_2014_2015,False
Indiana,0.3,0.7,0.5314,1.144,0.914,LOSO_DEV_2014_2015,False
Indiana,0.4,0.6,0.5319,1.1434,0.9155,LOSO_DEV_2014_2015,True
Indiana,0.5,0.5,0.5298,1.146,0.9189,LOSO_DEV_2014_2015,False
Indiana,0.6,0.4,0.525,1.1517,0.9246,LOSO_DEV_2014_2015,False
Indiana,0.7,0.3,0.5177,1.1606,0.9319,LOSO_DEV_2014_2015,False
Indiana,0.8,0.2,0.5078,1.1725,0.9419,LOSO_DEV_2014_2015,False
Indiana,0.9,0.1,0.4952,1.1874,0.9544,LOSO_DEV_2014_2015,False
Indiana,1.0,0.0,0.48,1.2051,0.9681,LOSO_DEV_2014_2015,False
Iowa,0.0,1.0,0.4189,1.3167,1.0808,LOSO_DEV_2014_2015,False
Iowa,0.1,0.9,0.4513,1.2794,1.0453,LOSO_DEV_2014_2015,False
Iowa,0.2,0.8,0.48,1.2455,1.0123,LOSO_DEV_2014_2015,False
Iowa,0.3,0.7,0.5049,1.2153,0.9812,LOSO_DEV_2014_2015,False
Iowa,0.4,0.6,0.5261,1.1891,0.9525,LOSO_DEV_2014_2015,False
Iowa,0.5,0.5,0.5435,1.1671,0.9262,LOSO_DEV_2014_2015,False
Iowa,0.6,0.4,0.5571,1.1495,0.9041,LOSO_DEV_2014_2015,False
Iowa,0.7,0.3,0.5669,1.1367,0.887,LOSO_DEV_2014_2015,False
Iowa,0.8,0.2,0.573,1.1287,0.8755,LOSO_DEV_2014_2015,False
Iowa,0.9,0.1,0.5753,1.1257,0.8675,LOSO_DEV_2014_2015,True
Iowa,1.0,0.0,0.5738,1.1276,0.8648,LOSO_DEV_2014_2015,False
Minnesota,0.0,1.0,0.3949,1.2396,0.987,LOSO_DEV_2014_2015,False
Minnesota,0.1,0.9,0.4131,1.2207,0.9741,LOSO_DEV_2014_2015,False
Minnesota,0.2,0.8,0.429,1.2041,0.9626,LOSO_DEV_2014_2015,False
Minnesota,0.3,0.7,0.4425,1.1898,0.9523,LOSO_DEV_2014_2015,False
Minnesota,0.4,0.6,0.4536,1.1779,0.9442,LOSO_DEV_2014_2015,False
Minnesota,0.5,0.5,0.4623,1.1685,0.9376,LOSO_DEV_2014_2015,False
Minnesota,0.6,0.4,0.4686,1.1616,0.9326,LOSO_DEV_2014_2015,False
Minnesota,0.7,0.3,0.4725,1.1574,0.9296,LOSO_DEV_2014_2015,False
Minnesota,0.8,0.2,0.4739,1.1557,0.9283,LOSO_DEV_2014_2015,True
Minnesota,0.9,0.1,0.473,1.1567,0.9281,LOSO_DEV_2014_2015,False
Minnesota,1.0,0.0,0.4697,1.1604,0.9295,LOSO_DEV_2014_2015,False
Missouri,0.0,1.0,0.4623,1.1615,0.9174,LOSO_DEV_2014_2015,False
Missouri,0.1,0.9,0.4774,1.1451,0.9044,LOSO_DEV_2014_2015,False
Missouri,0.2,0.8,0.4905,1.1306,0.8934,LOSO_DEV_2014_2015,False
Missouri,0.3,0.7,0.5017,1.1181,0.8844,LOSO_DEV_2014_2015,False
Missouri,0.4,0.6,0.511,1.1076,0.8774,LOSO_DEV_2014_2015,False
Missouri,0.5,0.5,0.5183,1.0993,0.8721,LOSO_DEV_2014_2015,False
Missouri,0.6,0.4,0.5237,1.0931,0.8681,LOSO_DEV_2014_2015,False
Missouri,0.7,0.3,0.5272,1.0891,0.8656,LOSO_DEV_2014_2015,False
Missouri,0.8,0.2,0.5288,1.0873,0.8648,LOSO_DEV_2014_2015,True
Missouri,0.9,0.1,0.5284,1.0878,0.8652,LOSO_DEV_2014_2015,False
Missouri,1.0,0.0,0.526,1.0904,0.8674,LOSO_DEV_2014_2015,False
Ohio,0.0,1.0,0.4665,1.2044,0.9575,LOSO_DEV_2014_2015,False
Ohio,0.1,0.9,0.4891,1.1787,0.9378,LOSO_DEV_2014_2015,False
Ohio,0.2,0.8,0.5083,1.1563,0.921,LOSO_DEV_2014_2015,False
Ohio,0.3,0.7,0.5241,1.1376,0.9069,LOSO_DEV_2014_2015,False
Ohio,0.4,0.6,0.5365,1.1227,0.8951,LOSO_DEV_2014_2015,False
Ohio,0.5,0.5,0.5455,1.1117,0.8854,LOSO_DEV_2014_2015,False
Ohio,0.6,0.4,0.5512,1.1048,0.879,LOSO_DEV_2014_2015,False
Ohio,0.7,0.3,0.5534,1.102,0.8767,LOSO_DEV_2014_2015,True
Ohio,0.8,0.2,0.5523,1.1034,0.8771,LOSO_DEV_2014_2015,False
Ohio,0.9,0.1,0.5478,1.1089,0.8816,LOSO_DEV_2014_2015,False
Ohio,1.0,0.0,0.5399,1.1186,0.8888,LOSO_DEV_2014_2015,False
