weight_neuralcqr,weight_lightgbm,dev_rmse,dev_mae,dev_r2
0.0,1.0,1.159,0.8921,0.5045
0.05,0.95,1.1443,0.8822,0.517
0.1,0.9,1.1303,0.8733,0.5287
0.15,0.85,1.117,0.8651,0.5397
0.2,0.8,1.1046,0.8572,0.5499
0.25,0.75,1.0929,0.8502,0.5594
0.3,0.7,1.0821,0.844,0.568
0.35,0.65,1.0722,0.8381,0.5759
0.4,0.6,1.0632,0.8327,0.583
0.45,0.55,1.055,0.8278,0.5894
0.5,0.5,1.0478,0.8234,0.595
0.55,0.45,1.0416,0.8201,0.5998
0.6,0.4,1.0363,0.8176,0.6038
0.65,0.35,1.032,0.8158,0.6071
0.7,0.3,1.0288,0.815,0.6096
0.75,0.25,1.0265,0.8149,0.6113
0.8,0.2,1.0252,0.8155,0.6123
0.85,0.15,1.025,0.8165,0.6124
0.9,0.1,1.0258,0.8184,0.6119
0.95,0.05,1.0276,0.8212,0.6105
1.0,0.0,1.0304,0.8245,0.6084
