,prism_tmax_mean_gs,prism_tmax_max_gs,prism_tmin_mean_gs,prism_tmin_min_gs,Precip_growseason_mm,GDD_Accumulated,prism_kdd30_gs,Tmax_Days_Above_35,prism_heat_exceedance_total_gs,nldas_et0_total_gs,nldas_rs_mean_gs,nldas_humidity_mean_gs,nldas_vpd_mean_gs,nldas_wind_mean_gs,spi1_prism_mean_gs,spi1_prism_min_gs,spi3_prism_mean_gs,spi3_prism_min_gs,spi6_prism_mean_gs,spi6_prism_min_gs,spi12_prism_mean_gs,spi12_prism_min_gs,SPEI_30_mean,SPEI_30_min,spei30_prism_nldas_max_gs,spei30_prism_nldas_drought_days_gs,spei90_prism_nldas_mean_gs,spei90_prism_nldas_min_gs,cdhw_count_gs,CDHW_Event_Count,cdhw_max_duration_gs,cdhw_max_severity_gs,CDHW_Severity_Score,pheno_veg_days,pheno_silk_days,prism_tmax_mean_veg,prism_tmax_days_gt35_veg,prism_ppt_total_veg,nldas_et0_total_veg,nldas_vpd_mean_veg,spi1_prism_min_veg,spei30_prism_nldas_mean_veg,spei30_prism_nldas_min_veg,cdhw_count_veg,cdhw_total_days_veg,CDHW_Severity_vegetative,prism_tmax_mean_silk,prism_tmax_days_gt35_silk,prism_ppt_total_silk,nldas_et0_total_silk,nldas_vpd_mean_silk,spi1_prism_min_silk,spei30_prism_nldas_mean_silk,spei30_prism_nldas_min_silk,cdhw_count_silk,cdhw_total_days_silk,CDHW_Severity_silking,prism_tmax_mean_grain,prism_tmax_days_gt35_grain,prism_ppt_total_grain,nldas_et0_total_grain,nldas_vpd_mean_grain,spi1_prism_min_grain,spei30_prism_nldas_mean_grain,spei30_prism_nldas_min_grain,cdhw_count_grain,cdhw_total_days_grain,CDHW_Severity_grainfill,noaa_hail_count_gs,noaa_thunderstorm_wind_count_gs,noaa_tornado_count_gs,noaa_max_hail_size_gs,soil_awc,soil_bulk_density,soil_clay,soil_silt,soil_organic_carbon,elevation_mean_m,elevation_std_m,slope_mean,nlcd_cropland_frac,nlcd_pasture_hay_frac,nlcd_forest_frac,nlcd_grass_shrub_frac,nlcd_developed_frac,nlcd_water_wetland_frac,CDHW_Flag,CDHW_Veg_Severity,CDHW_Silking_Severity,CDHW_GrainFill_Severity,Fourier_sin_P1_0,Fourier_cos_P1_0,Fourier_sin_P3_0,Fourier_cos_P3_0,Fourier_sin_P5_0,Fourier_cos_P5_0,Fourier_sin_P7_0,Fourier_cos_P7_0,Fourier_sin_P11_0,Fourier_cos_P11_0,Fourier_sin_P19_0,Fourier_cos_P19_0,Inter_SPEI_Tmax,Inter_Heat_Precip,Inter_CDHW_GDD
prism_tmax_mean_gs,1.0,0.5567728552868451,0.9008175167667629,0.6398641642563441,0.07712916354430556,0.973736458944404,0.7768234643669051,0.538245562659814,0.43747576058310705,0.494892239540783,0.7530412165108632,0.7815235949324668,0.3912378305784021,-0.4946911231468308,-0.15906480441041065,-0.13262884331169164,-0.14054948752598487,-0.11157667308220222,-0.1278452052282603,-0.0897536699334603,-0.0790821041761989,-0.03747477443863543,-0.23938988353055576,-0.26488574015709226,-0.14245560276543456,0.22607698636896098,-0.2173091223110438,-0.2023503254209006,0.35805992313599255,0.36851218269668545,0.3986689074025983,0.3190845508974759,0.29946021647274185,-0.9367668059171094,-0.8183181202293216,0.931802700855212,0.016435621150315733,-0.20132060129766136,-0.6842659394091419,0.12366088273874584,0.01760038908168814,-0.17744654649425629,-0.11481065659039794,0.05354476443164638,0.07166849513554503,0.05962935862631156,0.894537653780173,0.4694502709968716,-0.3293454957951845,-0.2201303862975947,0.3404805962771208,0.030888306470179396,-0.13910139732030513,-0.04457549116464663,0.3028404338637222,0.3136234861234935,0.25737324018826746,0.937325804286007,0.486441263058294,0.5963708569987399,0.9424836814488021,0.6813641555192059,-0.2962561112123438,-0.16543525058401612,-0.38086101413089013,0.34600213594376567,0.3274587828596705,0.2642728184309959,-0.10001305019339084,-0.030941483432722475,-0.062002043160154625,-0.06597429438504814,0.3552052414679307,0.2919155556316752,0.00764893271448005,0.64319491817775,-0.2731941639873994,-0.5603064321115323,-0.03652421018290078,0.3120102980742665,-0.18697685971592964,0.33126047694275146,0.33681051702193454,-0.14209570669264696,0.0009081160066416179,-0.4553381675876025,0.35944105280742483,0.05962935862631156,0.25737324018826746,0.2642728184309959,,,0.04082634114301165,0.030350376482279968,0.09891227001585622,-0.00400317031793156,-0.002042818606308076,-0.004313343239040599,0.08245615443889563,-0.029260265083246206,0.01452831511214978,0.09438616324244363,-0.3465642754690205,0.555091127766479,0.2604806000008896
prism_tmax_max_gs,0.5567728552868451,1.0,0.37967965046535895,0.13352829263229732,-0.24073909935859572,0.4926489732932248,0.8106005500127398,0.7705927918210004,0.691393033166144,0.5939046927874939,0.4369063492290787,0.17693874614071037,0.5994215097481995,-0.05049268266103488,-0.3909149569963601,-0.23932364581401872,-0.3719020858739688,-0.30497426791702803,-0.3269522797691059,-0.2930162347517397,-0.2653660380404636,-0.26428117709504934,-0.43995699486256484,-0.29063836784318686,-0.3244377312570754,0.44544363956771543,-0.4142017476936349,-0.29364662430822613,0.6351270451057919,0.612688787669708,0.6406928392115099,0.539787270481605,0.5242628380741676,-0.46995594436151283,-0.4691439233047729,0.5179948959720256,0.38704366908271676,-0.2932008310305935,-0.12030032467746399,0.4149952403187271,-0.12934094507816812,-0.27453810938299783,-0.17167415092465418,0.30525898170712956,0.30932253321862935,0.2878797736138306,0.6322213646484296,0.6986897024982048,-0.41085368659346744,0.1702505481551485,0.5994477988910232,-0.26152650408421396,-0.4391151373130486,-0.3081323532807513,0.5660322374339002,0.551256778686951,0.4586082280220531,0.3470069479808839,0.5210411556553233,0.24863622620699632,0.5820845111242946,0.5377182226222882,-0.1687589955962026,-0.22814797127967956,-0.2740334416417879,0.43148030131546816,0.40948303967954197,0.36675725535586157,0.00996471919748038,-0.08864367370108915,-0.03205640669633857,0.02265312039718967,0.20404292678625638,0.11213463026403321,0.03800649959261678,0.2547359815452462,-0.3223554322059629,-0.18736614460408257,-0.03048921619497049,0.07251196576786362,-0.027329899827630497,0.2263600541587668,0.04429292196402745,-0.03342318476921964,-0.05522196700831952,-0.20137986438872757,0.6295091632325597,0.2878797736138306,0.4586082280220531,0.36675725535586157,,,-0.056356610301134986,0.1169698511952158,0.12187872783058756,-0.09209842171630749,-0.0973205478279131,-0.05018215890861502,0.23107588459547024,-0.13472611805513415,0.14769477770650505,0.06395532216121377,-0.4570705603896611,0.7441927599906243,0.4474945001364281
prism_tmin_mean_gs,0.9008175167667629,0.37967965046535895,1.0,0.7164487489320926,0.31426832490519674,0.9626793771943807,0.6101316637949016,0.3464637609518337,0.2539874457546921,0.33296166990278303,0.6807354038145603,0.8853869096200121,0.20239174754616093,-0.487696418617858,0.10373576477508943,0.04443205576685814,0.11328681142252904,0.10533360525509351,0.11290093217056585,0.13082751394448777,0.11436519957604396,0.15443960803512524,0.018413180853945797,-0.09238957309865975,0.0436519330809717,-0.01031582740620926,0.03363710349216208,-0.0053980286573811955,0.15906413782455397,0.18374193463917,0.2271813037129177,0.1689856735137529,0.13993944186948057,-0.8966522017430595,-0.8136731155403122,0.7750146628709006,-0.1074365157615386,-0.01159604165590798,-0.7729681242819981,-0.07150372252837198,0.1916762336982622,0.03667371201965022,0.06567580870244744,-0.09358052932938946,-0.08648606160810283,-0.08916518766511941,0.8134710358761855,0.2795797897459348,-0.2111861916894862,-0.3506539257643418,0.1677035704070581,0.18587510180664235,0.04379708798574261,0.11822217760633456,0.11259058438583541,0.13459251233421632,0.11026874911651431,0.8869202304542024,0.3932399403291426,0.6792843075578792,0.8830098302686882,0.5303473800886058,-0.17670852098552758,0.005728603125731222,-0.23529227803486816,0.25951852746478826,0.255118550782458,0.19708404992731215,-0.05710285992267202,0.054228095481616,-0.04116895116986735,-0.043807132974496996,0.3300848791783146,0.34534507040565154,0.018282235054578967,0.6341269077534541,-0.2867562261671897,-0.6289919121710559,-0.08797850177138189,0.22663262504017098,-0.18694883414123412,0.3029241791777402,0.24907893043871157,-0.2145583724964112,0.131947908532404,-0.3900101629422756,0.19404059270215304,-0.08916518766511941,0.11026874911651431,0.19708404992731215,,,0.056539024157433046,-0.015264915807676964,0.09285243708443706,0.0542746127573063,-0.013793045240320405,0.028803863898622023,0.01750546421211159,0.025030214852947985,-0.08894931309228032,0.03708758205396144,-0.15060408512474163,0.4110100082183336,0.12145443300275369
prism_tmin_min_gs,0.6398641642563441,0.13352829263229732,0.7164487489320926,1.0,0.24289438584492995,0.6394062159593854,0.3310337811811432,0.18591113621770092,0.14029150700062795,0.13784986419371104,0.48102906056841777,0.6356956463979072,0.04345512514436637,-0.44790847955814006,0.08856139857909279,0.038107472229177715,0.09872057945187718,0.07654384150251395,0.11611299025121562,0.1283750598788052,0.1206254880664777,0.1587572923308401,0.029258824081830725,-0.05323865234415253,0.029576915942774992,-0.03987459411556072,0.03779854104352617,-0.011617561918384051,0.0683944919634151,0.09851323283232195,0.12220173620284745,0.11209115426435547,0.09056780542547649,-0.6184621351326136,-0.5472363448741605,0.6108168011685234,-0.20157914582105121,0.04620211004409512,-0.5963348531591048,-0.171469767027552,0.1890337005541016,0.04925367879785868,0.05912305096561262,-0.13901176493764456,-0.1263627814503018,-0.11027045758210481,0.5494359907736969,0.18315881802379574,-0.13767624243112736,-0.3045645859932373,0.03539224636010602,0.13041959842671766,0.05587083980137577,0.09801643338121588,0.0684320821701063,0.09794986263537973,0.09921594714709109,0.5658005869286874,0.20798499162802087,0.44508926736964405,0.5765102551892445,0.28325144687616005,-0.1765139954889324,-0.014585885881564542,-0.18316258117600082,0.13508306591392746,0.11851802220741732,0.07834974308527398,0.003288437110550268,0.10086791491603508,-0.024811808327905537,-0.0012422822448978472,0.19502817718047963,0.282901697092382,-0.018929494980300395,0.48037492018279465,-0.11084461659468654,-0.5338515144451181,-0.07626845757032906,0.18965249465588435,-0.16245734139201853,0.17492620996319047,0.23066751606446675,-0.19157774386554796,0.14019273382285902,-0.2892647429133558,0.06848021553236856,-0.11027045758210481,0.09921594714709109,0.07834974308527398,,,-0.014941755830065889,-0.04558518711489285,-0.0132483507431368,0.12380949241253926,-0.06561865196256306,0.07247418957486751,0.017814725901865214,-0.0768924654019488,0.015772102976124375,0.034323344386717525,-0.07384517062700416,0.22771505870865744,0.10740391276184819
Precip_growseason_mm,0.07712916354430556,-0.24073909935859572,0.31426832490519674,0.24289438584492995,1.0,0.18619555037233446,-0.14217100461620416,-0.23362421982372186,-0.2438142074689732,-0.2589913512835629,0.024357191956240597,0.4739712008642854,-0.375800068894929,-0.08352107812074179,0.8852450798632855,0.47045192824242343,0.8401796826917793,0.6328132582412578,0.7586165802548043,0.6207905402131466,0.5682692399126643,0.5356485386737374,0.8147466173634546,0.44470204424004545,0.6474141481697205,-0.6183430452989535,0.7782429069688577,0.561403649552259,-0.354596582367342,-0.298280752014671,-0.27321931390170495,-0.21937205908705393,-0.24301868766669477,-0.15653989472936825,-0.17123214452578736,-0.00301963104155526,-0.23738440743076727,0.69964820435957,-0.34676870247936786,-0.38510517952776496,0.5050119178347066,0.6016833147564333,0.4629366870397953,-0.2962243169210791,-0.2996065646779446,-0.2680555861547436,0.07164607501506412,-0.23944550307303827,0.4297534169925166,-0.3464999947601901,-0.33437923646827256,0.48954040854141684,0.5793111703209891,0.525755514695609,-0.3256777551016043,-0.27883532813447703,-0.21637989641037486,0.08938291610173721,-0.06878225986116857,0.5119677513824874,0.07033185242037251,-0.25362209389706697,0.29400759913652835,0.5659026888109963,0.38624867048640404,-0.14904353601907794,-0.11887191321338515,-0.10497528010292534,0.07831748746721424,0.1291506139181235,0.05952594743196793,0.07901494603633369,0.12019834615789793,0.07329597331160365,-0.011936381143751807,0.2147466652182425,-0.08211565361663925,-0.12064828205499714,0.0127155948349885,0.12637913112734156,-0.11349478811776419,0.1962384922033585,0.12169169499351419,-0.05022887924857757,0.007944391076945083,-0.14292676329494441,-0.3334452154217006,-0.2680555861547436,-0.21637989641037486,-0.10497528010292534,,,0.03529178262652452,-0.1517664416326365,-0.06898774927956458,0.09360143168038522,-0.005575356028482231,-0.020271552708384027,-0.10948394173227959,0.11729972110938358,-0.12109080711645993,-0.14999321425006806,0.4602992485400561,-0.06751650561304974,-0.20217128690805064
GDD_Accumulated,0.973736458944404,0.4926489732932248,0.9626793771943807,0.6394062159593854,0.18619555037233446,1.0,0.7233503491408136,0.4504216051536973,0.3439159583725442,0.4451113642268367,0.7401731252567125,0.851886441385884,0.3245903496124185,-0.49350722018623,-0.03780871526624074,-0.05359087867888676,-0.020781842319804136,-0.008417965712960771,-0.01876287552931692,0.010905341624397763,0.011261985496595876,0.049653431249933606,-0.12343138148262146,-0.19134358417261907,-0.056286151339061626,0.12140533191915333,-0.10031623629999295,-0.10956741001739773,0.26257765123105126,0.27371002306077336,0.3139464201933139,0.23584179437781957,0.21029704561164148,-0.9425732097075007,-0.8345061867778573,0.8685076439054477,-0.030019753228562925,-0.12366610200276279,-0.7357790013028264,0.05047811495750632,0.10208252298317505,-0.08035216113488046,-0.0263656106382657,-0.011955469288822552,-0.00029168024558011847,-0.010385023300932482,0.8697121645015407,0.3753134508761167,-0.2811313576734838,-0.28021019877770303,0.2711867035292352,0.11089199893894214,-0.05231109001029899,0.031923626331347044,0.2085866091966152,0.21767853093729075,0.17167208958881386,0.9438219723322774,0.4519821789935484,0.649708192888671,0.9454678428486077,0.6401457952258436,-0.2506264004010889,-0.0914205791431542,-0.3265749081160824,0.3062530816783589,0.294643849475224,0.23015132739075767,-0.08754166247095341,0.001969706731557747,-0.054627690661815435,-0.061110762207891585,0.35347774246517066,0.2995985171258896,0.00683173380559069,0.6460787608836513,-0.29232073020602606,-0.5960372188100748,-0.055403617432598994,0.2768864100912177,-0.19006105130335962,0.3238959557129009,0.30449168782635344,-0.1674851177868462,0.04734105713589177,-0.42556139869915294,0.2920488776985977,-0.010385023300932482,0.17167208958881386,0.23015132739075767,,,0.05355817212648597,0.003246554619572943,0.10175243712972318,0.009163579187596114,-0.01020585095179489,0.006013804212214124,0.06542367252248499,-0.0028011690213998555,-0.04859919698192307,0.07642011921682182,-0.26401889178236276,0.4919653021905607,0.17864602488463807
prism_kdd30_gs,0.7768234643669051,0.8106005500127398,0.6101316637949016,0.3310337811811432,-0.14217100461620416,0.7233503491408136,1.0,0.8793142705321514,0.7831005980333412,0.6086434350097543,0.6311723872434378,0.4342913198277289,0.5858281096790036,-0.24873361176303704,-0.33022086264173156,-0.21734019624547515,-0.3134961729460467,-0.28069146744635143,-0.2682688011392617,-0.23450751477608048,-0.1773925215580397,-0.17093369345420423,-0.39939958775680706,-0.3157532145115958,-0.26638122281553067,0.41679958939034156,-0.3717638590764045,-0.2977478424914781,0.6755681539707724,0.6983637709037078,0.6959211762973754,0.6125727825868952,0.6127466417195212,-0.6602993979837116,-0.6038759243312715,0.7298189107037892,0.2477473805963607,-0.27976662369380106,-0.3428123451674935,0.32751723316554165,-0.08735136657216172,-0.24645382359535517,-0.1684047249464034,0.23877074384745087,0.2669417155746236,0.2532463323996601,0.7507759164168646,0.7964409289695955,-0.43106870599012015,0.009677143854049301,0.5678648600907247,-0.20400019764489769,-0.3981078331964317,-0.27480813226006295,0.596992840462801,0.6309150010749726,0.5478237329827544,0.6254906061727395,0.6659381407606473,0.4077716688403876,0.7817607085409084,0.6480531034901358,-0.2065914547614398,-0.21083328795713163,-0.3309971907067155,0.5272509920311965,0.4961876864056922,0.43285562828868634,-0.03317216599437232,-0.07597290139233001,-0.05981881292239806,-0.022969981356519478,0.20918536055428993,0.05217978837714414,-0.08535808994494487,0.40764456111361574,-0.28228370024598626,-0.35964207709166657,0.03093480761272245,0.17999874387249698,-0.179139429404544,0.2978709051886894,0.224767239851209,-0.036768391279726594,-0.05688841350515167,-0.20854995596603648,0.5767286657135371,0.2532463323996601,0.5478237329827544,0.43285562828868634,,,-0.04533994514502235,0.09494217239342158,0.14890652700004028,-0.12240952748572494,-0.0764465260742938,-0.030194045712928476,0.17530819512179407,-0.09751561502934288,0.10858542629262741,0.058361004494845506,-0.45134333334472115,0.8585175694465549,0.5451881529643549
Tmax_Days_Above_35,0.538245562659814,0.7705927918210004,0.3464637609518337,0.18591113621770092,-0.23362421982372186,0.4504216051536973,0.8793142705321514,1.0,0.9372170995666137,0.5845141146185979,0.5015466964272524,0.13595609831021988,0.6085871763792724,-0.07656042546276505,-0.38645621525486507,-0.2582505413769942,-0.37365464248556324,-0.3351440364297281,-0.32503494381996395,-0.3040181866681118,-0.251185644170141,-0.2511216439440863,-0.4551466073028116,-0.34460722373938557,-0.31411603107761843,0.49121378241741115,-0.4334695862354826,-0.34392818158667743,0.8008688764314917,0.8573585272893463,0.8232597368029259,0.7538379567249911,0.7721427175254413,-0.4229613409785575,-0.3779811135744567,0.5395443365009394,0.34556510523825806,-0.27928711206395984,-0.0904674425506575,0.40884008708994635,-0.16382408252148517,-0.30196875831707953,-0.23846528677433418,0.3103342736976338,0.3581110299901045,0.35570166163164996,0.5480309163368074,0.9175418900590235,-0.3800507884992065,0.17165117571834534,0.6177079829315603,-0.29116040069126,-0.45399276566170577,-0.35155835716442835,0.7206741040810971,0.7845076167461106,0.6897794448988949,0.3881843505729833,0.7147298300761319,0.22125733650805485,0.5571168887778609,0.5529809213690325,-0.1751601463054172,-0.23234322460623014,-0.3024207273969532,0.593845000221431,0.5774323062425525,0.5318103580064999,0.02179824325833411,-0.06340167241284231,-0.0397555229833186,0.01355567950069816,0.11802254115377857,-0.024872993916700673,-0.09258351476394718,0.24521410992847262,-0.20313526064430854,-0.1684052773009808,0.061466508620375004,0.12808373786899896,-0.15823672342069559,0.2642504857351853,0.15395070332526,0.007120374902918917,-0.058022165805904476,-0.10723809132065901,0.6047456606166942,0.35570166163164996,0.6897794448988949,0.5318103580064999,,,-0.0569316358772566,0.14595089307790607,0.09085129695037826,-0.1620299017492449,-0.07189176505763341,-0.03651517769821906,0.19314367807714714,-0.1758205933776902,0.21571776324009348,0.050942120767721345,-0.4785435460284471,0.9487043598165771,0.6838198185077063
prism_heat_exceedance_total_gs,0.43747576058310705,0.691393033166144,0.2539874457546921,0.14029150700062795,-0.2438142074689732,0.3439159583725442,0.7831005980333412,0.9372170995666137,1.0,0.5452926353775813,0.44995610617685267,0.03711998651988195,0.58283976328748,-0.024710192104737915,-0.3732575945335414,-0.2505714290874366,-0.3709727534210755,-0.3295009565113092,-0.326965092799411,-0.30539861225137865,-0.24755820654404687,-0.247429498342179,-0.44935936900285994,-0.3402329833256156,-0.3007535611957435,0.49615738185997726,-0.4395658304817057,-0.34605447201978484,0.796935875656423,0.91162220866699,0.8482020356014698,0.8839757326843378,0.9095015574316035,-0.3347864284726442,-0.29435901077503185,0.4571873084944848,0.28724278161740086,-0.2823581767165996,-0.017863433006669947,0.41214665579066134,-0.19530814359532717,-0.323954206090429,-0.2654539206696814,0.28786776362522615,0.3400927003209746,0.3632228434773224,0.46526430857867845,0.8853871597635578,-0.34009141946289595,0.21906369656235186,0.6160048582243505,-0.2922789268503184,-0.45358892460087563,-0.3605108612958213,0.7251103850812061,0.85534298465568,0.833458211780564,0.2940581161062459,0.6408426565009919,0.1776506858737164,0.45944026057955445,0.48453280464560233,-0.13971156107115446,-0.206585781234952,-0.27880044746566834,0.5958342368629802,0.5889009955527514,0.5960214894420784,0.024499237343512854,-0.05246886977047885,-0.0390404837974104,0.014225393775669361,0.08787692100499934,-0.02527295577901503,-0.08115200893526321,0.18867582804329314,-0.14712391782632583,-0.10948808776932027,0.05847308447883921,0.10617527671795354,-0.13940122253847953,0.22589522261538683,0.12769089479864423,0.010547452308901386,-0.043305372318929086,-0.0810172114117232,0.5121716899783303,0.3632228434773224,0.833458211780564,0.5960214894420784,,,-0.04257941606408826,0.18151923190048536,0.07096090334343301,-0.16787229048972496,-0.07257926263778916,-0.017797822053599748,0.17487270570217509,-0.16379219754483645,0.2024810709033737,0.017554025869339438,-0.46472520898620506,0.8556075780901129,0.8315594042189327
nldas_et0_total_gs,0.494892239540783,0.5939046927874939,0.33296166990278303,0.13784986419371104,-0.2589913512835629,0.4451113642268367,0.6086434350097543,0.5845141146185979,0.5452926353775813,1.0,0.6661412770454653,-0.0234674950192185,0.9673285450911238,0.29254839059010784,-0.3593374182613778,-0.2506964310585919,-0.343809948942711,-0.33337869531678427,-0.31439670437521533,-0.29312647953247667,-0.24696634988125715,-0.2383791819204486,-0.6141736468026591,-0.5247345099166659,-0.3445277173219893,0.628392878644705,-0.5730744897853136,-0.503421316088759,0.592429765068353,0.5552181919866025,0.5287442978195309,0.4654065835634553,0.4850004534071186,-0.4591153458217909,-0.3399024006646989,0.49018939620908963,0.24258194487510937,-0.33022091196925873,0.19782553964287922,0.790299849888118,-0.13675255330350528,-0.4079071566834307,-0.3055574989142672,0.23159595073154354,0.23534933145025666,0.22052949558221888,0.4640482329627815,0.5389886121540713,-0.3254399435615582,0.6184516070577898,0.8855282087765662,-0.22239373588816483,-0.5135998447731951,-0.44683197994686824,0.5339366457667611,0.5126589442338592,0.4416147103421697,0.3663359610965632,0.3986767939747813,0.19442041826470136,0.6278271297673422,0.8149324779102,-0.17723027417852796,-0.37397733487190987,-0.4570114364894947,0.41296703203176977,0.3635158958825177,0.3140021375069487,0.11101606342080989,0.020546155444320747,0.022287204499691397,0.1102947462049044,0.23656593041026408,0.11016852048660195,0.13063607721218748,0.19266528345373068,-0.36634119699167317,-0.04092493357997397,-0.05426713231415862,0.001686928506066179,0.07919735726473517,0.19165785067685867,-0.06114760732921248,0.006560000350731237,-0.13430533027611796,-0.1797253754762141,0.5149873023915492,0.22052949558221888,0.4416147103421697,0.3140021375069487,,,-0.03060556179877035,0.11147303193202075,0.07689664401712074,-0.12179413438670172,-0.014591355856450747,0.017899294070992604,0.08460315037810759,-0.20240054663433296,0.05169019675080772,0.026897985329971306,-0.6026285568755564,0.5295733672429,0.43209219484906075
