Rank,Feature,Mean_Attribution,Attribution_NeuralCQR,Attribution_LightGBM,Attribution_CatBoost,Attribution_XGBoost
1,county_baseline,0.214905,0.10087,0.231895,0.254499,0.272354
2,spei30_prism_nldas_mean_silk,0.050266,0.02939,0.055843,0.056445,0.059386
3,Yield_lag1,0.035746,0.019405,0.041134,0.046994,0.03545
4,spi1_prism_min_silk,0.028767,0.007579,0.02802,0.044303,0.035167
5,prism_kdd30_gs,0.028493,0.034246,0.026176,0.032173,0.021378
6,prism_ppt_total_silk,0.024923,0.011235,0.023947,0.034558,0.029952
7,nldas_et0_total_silk,0.023176,0.037484,0.017073,0.017804,0.020345
8,prism_tmax_mean_silk,0.02143,0.00861,0.026435,0.023988,0.026688
9,spei30_prism_nldas_mean_veg,0.021242,0.005561,0.029485,0.023616,0.026304
10,nldas_vpd_mean_veg,0.020497,0.01511,0.021232,0.024026,0.021621
11,prism_ppt_total_veg,0.0202,0.006683,0.024493,0.022762,0.026862
12,Fourier_sin_P5_0,0.019905,0.021634,0.019539,0.018045,0.020403
13,Fourier_cos_P19_0,0.018459,0.007063,0.022616,0.019478,0.024677
14,CDHW_Silking_Severity,0.013876,0.009495,0.014506,0.012414,0.019089
15,spei30_prism_nldas_min_silk,0.013117,0.021668,0.011036,0.008082,0.011681
16,prism_tmax_mean_veg,0.013037,0.035982,0.005275,0.006185,0.004705
17,Fourier_sin_P19_0,0.0129,0.00521,0.01219,0.017051,0.017149
18,spei30_prism_nldas_drought_days_gs,0.012805,0.021825,0.012811,0.00652,0.010065
19,spi12_prism_mean_gs,0.012001,0.004894,0.012225,0.017202,0.013683
20,Fourier_sin_P7_0,0.011366,0.004921,0.011785,0.014367,0.014393
