,prism_tmax_mean_gs,prism_tmax_max_gs,prism_tmin_mean_gs,prism_tmin_min_gs,Precip_growseason_mm,GDD_Accumulated,prism_kdd30_gs,Tmax_Days_Above_35,prism_heat_exceedance_total_gs,nldas_et0_total_gs,nldas_rs_mean_gs,nldas_humidity_mean_gs,nldas_vpd_mean_gs,nldas_wind_mean_gs,spi1_prism_mean_gs,spi1_prism_min_gs,spi3_prism_mean_gs,spi3_prism_min_gs,spi6_prism_mean_gs,spi6_prism_min_gs,spi12_prism_mean_gs,spi12_prism_min_gs,SPEI_30_mean,SPEI_30_min,spei30_prism_nldas_max_gs,spei30_prism_nldas_drought_days_gs,spei90_prism_nldas_mean_gs,spei90_prism_nldas_min_gs,cdhw_count_gs,CDHW_Event_Count,cdhw_max_duration_gs,cdhw_max_severity_gs,CDHW_Severity_Score,pheno_veg_days,pheno_silk_days,prism_tmax_mean_veg,prism_tmax_days_gt35_veg,prism_ppt_total_veg,nldas_et0_total_veg,nldas_vpd_mean_veg,spi1_prism_min_veg,spei30_prism_nldas_mean_veg,spei30_prism_nldas_min_veg,cdhw_count_veg,cdhw_total_days_veg,CDHW_Severity_vegetative,prism_tmax_mean_silk,prism_tmax_days_gt35_silk,prism_ppt_total_silk,nldas_et0_total_silk,nldas_vpd_mean_silk,spi1_prism_min_silk,spei30_prism_nldas_mean_silk,spei30_prism_nldas_min_silk,cdhw_count_silk,cdhw_total_days_silk,CDHW_Severity_silking,prism_tmax_mean_grain,prism_tmax_days_gt35_grain,prism_ppt_total_grain,nldas_et0_total_grain,nldas_vpd_mean_grain,spi1_prism_min_grain,spei30_prism_nldas_mean_grain,spei30_prism_nldas_min_grain,cdhw_count_grain,cdhw_total_days_grain,CDHW_Severity_grainfill,noaa_hail_count_gs,noaa_thunderstorm_wind_count_gs,noaa_tornado_count_gs,noaa_max_hail_size_gs,soil_awc,soil_bulk_density,soil_clay,soil_silt,soil_organic_carbon,elevation_mean_m,elevation_std_m,slope_mean,nlcd_cropland_frac,nlcd_pasture_hay_frac,nlcd_forest_frac,nlcd_grass_shrub_frac,nlcd_developed_frac,nlcd_water_wetland_frac,CDHW_Flag,CDHW_Veg_Severity,CDHW_Silking_Severity,CDHW_GrainFill_Severity,Fourier_sin_P1_0,Fourier_cos_P1_0,Fourier_sin_P3_0,Fourier_cos_P3_0,Fourier_sin_P5_0,Fourier_cos_P5_0,Fourier_sin_P7_0,Fourier_cos_P7_0,Fourier_sin_P11_0,Fourier_cos_P11_0,Fourier_sin_P19_0,Fourier_cos_P19_0,Inter_SPEI_Tmax,Inter_Heat_Precip,Inter_CDHW_GDD
prism_tmax_mean_gs,1.0,0.527506470575518,0.8852788663905934,0.5957442589983172,0.06410384941627108,0.9739052440487568,0.8354962138787486,0.5550274070700913,0.5212212176291838,0.5071055975026425,0.7627579973150239,0.7596092117629104,0.4177659273415335,-0.4946242759781094,-0.15045113360970971,-0.12569654154582463,-0.1305592128439969,-0.11246175127106638,-0.12210648556033066,-0.09629233587794994,-0.06257739386308303,-0.031413848358518286,-0.21547953607646003,-0.25437118742557874,-0.13416346529354642,0.22598182475631334,-0.1912535903907045,-0.19858649849308868,0.3833201890061911,0.3927437930299072,0.3936988303647569,0.38898286582449476,0.38851441523631014,-0.9334447597568124,-0.872992704410248,0.9238103488498194,-0.052441517287096194,-0.2060338143138734,-0.6699571015523715,0.1298126891164487,0.021321050142840674,-0.16271858908748027,-0.11102767013472309,0.06364724664254919,0.06602389413082506,0.06484273715943725,0.8812945455176772,0.5474232921385471,-0.3301265352778435,-0.21284896334940562,0.4107023285604734,0.03484672536238068,-0.12322787586572871,-0.047169014214466266,0.3297860101382194,0.3351680127971479,0.33300124607362064,0.9576846770551478,0.5715690432398075,0.5817202428368994,0.9462432650531144,0.6932552739600872,-0.26392474225676715,-0.1533984259383087,-0.34497807943738446,0.3678298973015856,0.369902381342467,0.36927767914407417,-0.0946345137522346,-0.028232271383188404,-0.05908874162209646,-0.06779744550634445,0.28119504395453293,0.06521596657083326,-0.10842219560538134,0.6326868675711644,-0.33456075949768455,-0.5456034157979279,0.07050225768433022,0.3765511341167584,-0.2686535889187887,0.33598129394302967,0.41789085346564697,-0.005964908133532881,-0.0184280521326497,-0.22905491579175313,0.3628457411151468,0.06484273715943725,0.33300124607362064,0.36927767914407417,,,0.041309318131793074,0.02517994616917811,0.09889225864503678,-0.008516234878521938,0.008039230147046085,-0.010411869833307271,0.0874195603523239,-0.02865818516094078,-0.009373857010291786,0.09048716063360783,-0.33254644230150765,0.5672145122075726,0.3358023974877204
prism_tmax_max_gs,0.527506470575518,1.0,0.34890878471073394,0.10289859189639147,-0.24237250385545606,0.4658572869174784,0.8194539303184881,0.912129927761864,0.9380129552775418,0.5483277453840151,0.3823551640907258,0.17466416394070117,0.5576019188763156,-0.05001526897902907,-0.36046293048936007,-0.22780929763207053,-0.3314867669991893,-0.2723744360738241,-0.29171109463289757,-0.26192576356663555,-0.24279958790330486,-0.24702548341977215,-0.3735671754734001,-0.25351089793231396,-0.2866986735143112,0.3333120181983857,-0.34253728290085006,-0.27046532470397056,0.6474096279689943,0.6517906059697766,0.649465988191421,0.6579827484312978,0.6577723617737901,-0.43584332279258325,-0.5668231062528968,0.47849239032740637,0.42271160606841207,-0.26687387120648537,-0.1189679834987138,0.3498798841360064,-0.0848664616726869,-0.1939855605448091,-0.11237442656631076,0.29817890681532716,0.29921440605487026,0.3005013893492576,0.6656425286855066,0.7740106469116453,-0.4168871593928709,0.1256950453107035,0.5854444334329375,-0.2350861026671736,-0.38830827081266267,-0.2748657259945265,0.5619224133957338,0.5649024351244437,0.5679215725284917,0.3706725601702629,0.5638354870886423,0.22509562336295688,0.5624859367311072,0.5139754696898295,-0.1769959435273828,-0.22608944225599112,-0.2676162327907024,0.41564166397860947,0.4172324377049644,0.41871935452185544,-0.004920053376219632,-0.11274687091576636,-0.025999206487862248,0.022981411430108147,0.2049351684626179,0.022778319120084867,0.0484978086193985,0.2668207032829793,-0.34015207621388954,-0.18888628614799283,-0.0008765703266335862,0.15702847874346404,-0.024465045411689777,0.1682897368756865,0.03856183567452394,0.0397777552634727,-0.164895721660407,0.000280136594079064,0.6277206872931677,0.3005013893492576,0.5679215725284917,0.41871935452185544,,,-0.06025428640211011,0.09780638056849254,0.11689494630921625,-0.0761319586929285,-0.09913779956430507,-0.06212076178974291,0.2258591665248667,-0.14391363567051313,0.11110147544634788,0.055265089055917496,-0.40280354634437365,0.9015093693580302,0.56821470418777
prism_tmin_mean_gs,0.8852788663905934,0.34890878471073394,1.0,0.6932688656374926,0.30837155153838186,0.9566960925076067,0.6778063554158642,0.3758038188601593,0.3373144066309374,0.34964573842294705,0.6975126951308036,0.8694277612117035,0.22666792743619277,-0.4876187169281955,0.1095898907661264,0.053096894962901764,0.11706550563507329,0.09976426191291005,0.11126048144602135,0.11864191494324013,0.126839166351164,0.15655979204716386,0.02893602745448172,-0.08485865727801387,0.04683306087093096,0.0074835145108560226,0.04654596805306612,-0.007926746638261163,0.19375486189291877,0.20349402655705728,0.20777067883234812,0.19999427979272422,0.19845160287021937,-0.8795346083145824,-0.853738119833769,0.7549483290834718,-0.1718530490849573,-0.013292805229222828,-0.7513165330745462,-0.04882000932461339,0.19322039151790818,0.04024610708337939,0.06314642807842845,-0.09731507541716575,-0.09682134017341329,-0.09828682953761717,0.7572049107386979,0.36907425503608243,-0.2054718882392048,-0.353798484717969,0.23703490593883372,0.18652218150576125,0.050016169408242966,0.10503293829264444,0.14738289534475077,0.1524411483607329,0.14922127335521101,0.909216937336775,0.4733120618995407,0.6720942133636508,0.8737097868869391,0.5418192349215444,-0.14736298993510025,0.007611791097588432,-0.20607861819008605,0.2741795859641491,0.27609854624726105,0.2737083549646819,-0.04297092760817343,0.0690614607910957,-0.036812483838243606,-0.03920469145153214,0.25478101546801607,0.11440382945766085,-0.12069060368453531,0.6273215078327187,-0.31522044484288125,-0.6152444787591614,0.0284336526713646,0.29388366112642494,-0.3013563460310861,0.3020874332668493,0.3927783413496794,-0.0678340008812331,0.1060334914271034,-0.1394902004317344,0.18952997749202097,-0.09828682953761717,0.14922127335521101,0.2737083549646819,,,0.05984493491155862,-0.021242659839894266,0.10698934978550745,0.05641486734769516,-0.01332961084861281,0.027075477974772427,0.017144567990720096,0.02401315858612798,-0.09959637148261248,0.04326817175572775,-0.1421796573633264,0.40767208678481076,0.1523815649181466
prism_tmin_min_gs,0.5957442589983172,0.10289859189639147,0.6932688656374926,1.0,0.25078908526305627,0.6157003611355961,0.34070087453388925,0.13683670063477138,0.10463496081120519,0.1331086016719146,0.49063719312389675,0.6081941138206255,0.0402074352711877,-0.45486036085810083,0.11817892048880285,0.05133443960360587,0.11523295321019855,0.07943304434722978,0.11906246368061348,0.11997620130722189,0.1485165093887363,0.18027824914415633,0.06321707647767041,-0.036787190865479553,0.03865262071927941,-0.04273606692975203,0.06671416488566813,0.0003702646474287623,0.07058750355626225,0.07805534505171743,0.08206846471532947,0.07857166036914752,0.07652588133761004,-0.597027096368237,-0.5381772318266597,0.5714312274518926,-0.23862059169479338,0.04893790083620172,-0.59380316473589,-0.15647713996668078,0.19635733778478198,0.06304884758117044,0.05913560376483039,-0.1375669217612541,-0.13737583381060325,-0.13838236266282028,0.47386319186642134,0.1896499766595093,-0.13082466089599548,-0.28850847624025844,0.06358917676543227,0.14001565831092846,0.07130689115954726,0.09497220561948021,0.08850771019964872,0.09256648177141842,0.09246684497407848,0.5436716926651263,0.2589428573238582,0.46203698057056153,0.549741063508495,0.2762072934446944,-0.11894605491364464,0.032480779194630986,-0.13151725037997003,0.1374050826724107,0.13830316129290254,0.13646218191656623,0.041403488859301306,0.1586430860648957,-0.026341860644327482,0.017453846067533405,0.10719144063230206,0.09514226583231258,-0.13951500963129443,0.44459350606219467,-0.1177184629959001,-0.5201476098811101,0.0049930385904505235,0.17811009513182732,-0.2281856377434979,0.1663596840794689,0.31718330859167065,-0.0991023252399596,0.1891994154369064,-0.10647070038956678,0.06386887467897795,-0.13838236266282028,0.09246684497407848,0.13646218191656623,,,-0.015184047362295106,-0.029983064066338955,-0.02171423718006791,0.13648419478894505,-0.0763708457379999,0.05510592720491136,0.01757312610518465,-0.07674712628317547,-0.020172450391954477,0.03710485788566151,-0.05563370078916411,0.15815318072916018,0.09455270557553529
Precip_growseason_mm,0.06410384941627108,-0.24237250385545606,0.30837155153838186,0.25078908526305627,1.0,0.17720552190765337,-0.09713200942078552,-0.22197500892672767,-0.24527468204011393,-0.23674175960288832,0.05176849747890281,0.4678024868590986,-0.3761414784600509,-0.09538684001101655,0.8858136718118418,0.4592368193514695,0.8407416408439117,0.6237873402077273,0.7561920331914983,0.6149729858129434,0.554577122715226,0.5325637728089677,0.8176637053339442,0.4314241977737547,0.6414737842902397,-0.6294662627228412,0.7771306066812934,0.534304495510505,-0.35707956081569486,-0.35039952143776987,-0.34238442393736135,-0.3508560902523993,-0.3531045179506096,-0.1363065168251124,-0.13989566451520755,-0.013499177956878054,-0.20207680216214133,0.6881798298787362,-0.32030933783877097,-0.3594154031951863,0.5038704238392193,0.5926683636132006,0.4514473803395127,-0.29083075965659383,-0.29191299484506433,-0.2926802118851948,0.008670385802291607,-0.21420235951709762,0.4065159802383551,-0.3456836525749857,-0.32579492228717066,0.4680572081988265,0.5566975221101188,0.4907548652566135,-0.3254268168805461,-0.3235302165981959,-0.3260824321995459,0.09569299867517585,-0.05731242910738316,0.4817243884714991,0.05539841590063081,-0.26274764316813654,0.29544356872919597,0.561552490328914,0.3873054120091225,-0.1491408527687635,-0.14722063841547142,-0.14899846643175463,0.10565520946979784,0.1632231170983181,0.07411424643290526,0.07943493885408366,0.10577156599520926,0.027243866632788945,-0.03627398773173031,0.20020624401574788,-0.10060230352859474,-0.12182226638251056,0.03390872656953147,0.16309511358741882,-0.10873925673158465,0.16117925198744476,0.14866662961634733,0.005512257250816493,0.041369701675869,-0.1103674451312511,-0.33707274797802533,-0.2926802118851948,-0.3260824321995459,-0.14899846643175463,,,0.04937156463921892,-0.15555662266147277,-0.04217245714160728,0.10395740283195429,-0.012926599013595563,-0.03758305011100301,-0.12638134054738284,0.11098337253363588,-0.12753498057628548,-0.14110552840938484,0.4485203248902812,-0.14758364268552102,-0.3250758572911929
GDD_Accumulated,0.9739052440487568,0.4658572869174784,0.9566960925076067,0.6157003611355961,0.17720552190765337,1.0,0.7963871138724308,0.4895325902810388,0.4523910961846286,0.4632629766825208,0.7527011083384783,0.8355505592722572,0.3557996491616355,-0.49400934703281696,-0.03240324812947524,-0.04612413498057689,-0.015954040582785864,-0.011750485216976799,-0.01778118034988109,0.001495004721698024,0.02366759364609427,0.05221317000356603,-0.10814195325471199,-0.18201591141051313,-0.05234375394477002,0.13271168361646324,-0.08429066162686347,-0.10991357378618405,0.3027929895610493,0.311980381010973,0.31436094715086393,0.30772946924576927,0.3068365920687235,-0.9394986299837998,-0.893280698773858,0.8619586870613466,-0.09250641879452941,-0.12803077657467474,-0.7213657338158791,0.06799282164214135,0.10221261269402762,-0.0749216403687486,-0.02662287539348727,-0.00462783446399553,-0.0029854141980236943,-0.004429521490219345,0.8509258966228342,0.47550622625286293,-0.27558636357768873,-0.2813632443379769,0.3531332296821675,0.11127601119400617,-0.04321455488453891,0.023435986347830576,0.24769888225449999,0.2526220868764752,0.24961778590803682,0.9717251744687345,0.5382666756043997,0.6376474881856606,0.9476812409742396,0.6560784835837984,-0.22122611896869152,-0.08376316602046845,-0.2943553634848,0.3291707523932103,0.331036920463099,0.32955904370248035,-0.08302867978786155,0.005777442973382206,-0.05078857785061522,-0.062437538729379814,0.2856227979960079,0.08400298155326369,-0.11025870803799522,0.6444176773172862,-0.3446329627762739,-0.5798080642819411,0.05369893551826758,0.35376805977791187,-0.2808366696412686,0.32873199751202,0.4103331325406661,-0.03137013247653232,0.020038481577209652,-0.19764456673288708,0.29155847246983757,-0.004429521490219345,0.24961778590803682,0.32955904370248035,,,0.054287643769036074,-0.001955477015191039,0.10802762132912216,0.008551416830560975,-0.0009485656767884708,0.0038532415302425208,0.06878494359506013,-0.001792884247194099,-0.06116017312847998,0.0752851687038465,-0.25399223854388936,0.5111583497044146,0.25265359083984845
prism_kdd30_gs,0.8354962138787486,0.8194539303184881,0.6778063554158642,0.34070087453388925,-0.09713200942078552,0.7963871138724308,1.0,0.8020099052512425,0.7825657454927845,0.5794298095487902,0.6174901214426326,0.5237235337235469,0.5369168266848008,-0.28477726896364247,-0.27442482449519295,-0.181834718386095,-0.24568662406460628,-0.21374986914876196,-0.21069885266647925,-0.17520003978588464,-0.13462684962973467,-0.12555104582341806,-0.3121132744439897,-0.2624284068568817,-0.2221281390660619,0.29735001368165515,-0.27567323159406626,-0.23898428564884014,0.5681006217940411,0.5745351037089099,0.572211125160525,0.5714949296438401,0.572384928768811,-0.7412588761284425,-0.853036748701097,0.7460294176636858,0.20483472886491305,-0.2542333331510198,-0.4359013678067833,0.2446119158684176,-0.016337638930793694,-0.15588562414370122,-0.08389942416045762,0.21729582565984717,0.21942346516529312,0.2190398692643836,0.9210524625413783,0.7493582443838631,-0.4524766549774936,-0.07728072549685219,0.5716924680167033,-0.1338749306608068,-0.3257051380656254,-0.2092254348716184,0.5067521409483008,0.5107235992127357,0.5101083903614193,0.7121257517555168,0.6116814108204847,0.46366763446604126,0.8413555105048198,0.6601768587188293,-0.2146403171431367,-0.19723157551932152,-0.3170069964469218,0.41765995978987375,0.419610260547889,0.420038536845228,-0.06480926409564039,-0.08717612190033724,-0.05555240379745051,-0.035749737064860794,0.26104684985260584,0.05233416683704555,-0.024778897746478,0.4786748260165234,-0.37796079709520614,-0.3975758805596978,0.028338078806809216,0.27347823760397943,-0.15061557422932653,0.2636320191910187,0.23200500569898666,0.01958998101767037,-0.10561907281766804,-0.10436609897479283,0.5412898613319462,0.2190398692643836,0.5101083903614193,0.420038536845228,,,-0.044507745996275085,0.05080953150580503,0.1721096794375842,-0.08290991029765153,-0.060774905418449585,-0.041530642767693186,0.1895669905557601,-0.07512874264042997,0.02406772703708211,0.061597112700127875,-0.3840200944565819,0.8027145224720159,0.5115905263475035
Tmax_Days_Above_35,0.5550274070700913,0.912129927761864,0.3758038188601593,0.13683670063477138,-0.22197500892672767,0.4895325902810388,0.8020099052512425,1.0,0.9866723748943421,0.5438843412020672,0.4148891890386948,0.19239617181952684,0.5526456230297809,-0.07593615364253099,-0.3483519666923085,-0.22592924687818453,-0.31651821252094264,-0.2730570920276587,-0.2835415088520061,-0.2598116579428995,-0.236791564414382,-0.24310634579421175,-0.36817663533581957,-0.26923854023533544,-0.2791801043044729,0.33883830822949346,-0.33448199387209254,-0.2822466264931886,0.694952905054044,0.7010313824146452,0.6985718586487132,0.6982608921148725,0.6992641700702572,-0.46497491605559305,-0.5803161643057981,0.5068867222349133,0.40309958487224623,-0.24425215752186627,-0.140922055816777,0.33001664136952874,-0.07266132952637935,-0.18889818735193245,-0.12014426532877337,0.29618409929826955,0.29807310824920974,0.2977604943162582,0.6751582433415516,0.8740667102852778,-0.4130166462423146,0.12012516739026254,0.5739443971282898,-0.22926403332632636,-0.3790462376605436,-0.2770027404621956,0.6051343882677098,0.6086831766039714,0.60822199460214,0.4242460852495899,0.6674502233855204,0.22473311213302055,0.5834242829915138,0.5359905689147614,-0.1955394069038092,-0.23389827732950444,-0.28756685777335844,0.473478224767814,0.47539898653714197,0.4759907570717469,0.012531785507429965,-0.09533794982762546,-0.027727694340630892,0.028207575649319135,0.18046807979845259,-0.02922394143093108,-0.01057739196739925,0.28871537471071274,-0.3170743034241713,-0.1876631848869118,0.035736553088086494,0.18733120270859296,-0.09546783025294088,0.20601017275388822,0.10621477490717468,0.0630823122840337,-0.1739854911139636,0.003162655496697583,0.6719800867197977,0.2977604943162582,0.60822199460214,0.4759907570717469,,,-0.06885750710904974,0.09013865158999003,0.10548505664982336,-0.11815233642139958,-0.08728829023280163,-0.06311481674953888,0.19801650243176808,-0.1824594145126626,0.13364987340972642,0.056494158902196404,-0.39992152086823224,0.9946599610007557,0.6089154422953457
prism_heat_exceedance_total_gs,0.5212212176291838,0.9380129552775418,0.3373144066309374,0.10463496081120519,-0.24527468204011393,0.4523910961846286,0.7825657454927845,0.9866723748943421,1.0,0.5400460667572263,0.3905073389131178,0.15152283237490138,0.5542829107046021,-0.05101762023568782,-0.3637043719607539,-0.23523790435687705,-0.33081708522959913,-0.2839949318166782,-0.2955276175890012,-0.2702838524456314,-0.2531037592421821,-0.2597501336169938,-0.38133837824095246,-0.27507719378428425,-0.28955904186829795,0.34990478801240693,-0.34689036097810383,-0.2913210015436123,0.6949806819578896,0.7007844515125934,0.6984490313788383,0.7037547380521294,0.7041711944486286,-0.4289672085172531,-0.5505829771917915,0.4773104522410301,0.4267646330328395,-0.2520672964468894,-0.10591119440138344,0.3403589852456094,-0.08829860069762906,-0.19932211240305375,-0.13147494452530858,0.3078954029227537,0.3094565965596753,0.3102318271200807,0.6490751296415785,0.8493228984439208,-0.40872889161298387,0.13772025963976428,0.5737100849285506,-0.23929354909170394,-0.3864860084490172,-0.28602542020088595,0.6051510014554461,0.608713963661135,0.6105371347403801,0.38509188804081357,0.6391800635268177,0.19242683154191695,0.5530214593612481,0.5226303888049261,-0.19130258044532863,-0.2433667133069804,-0.2865360320460065,0.46163873068519057,0.463664518824995,0.4649645436343191,0.00889634794414066,-0.10201961194025086,-0.026148902003616494,0.02708415899312929,0.17898786562696986,-0.02619478180747182,0.004090581184639975,0.26454212855033693,-0.3079031684704297,-0.16333114245728816,0.033372348186585146,0.1745600977523731,-0.0781382578598231,0.19202093129522305,0.08309461304889286,0.0626819810788068,-0.17381906177881506,0.0077055681531357344,0.6722974496258123,0.3102318271200807,0.6105371347403801,0.4649645436343191,,,-0.07205629518015555,0.0939829995777166,0.0999944978944579,-0.10790231580949597,-0.09565334613594959,-0.06408952586271328,0.2032698527533376,-0.18008485067221425,0.13280569787210192,0.05418720026994215,-0.4102258377242788,0.9779231097985893,0.6110532459791552
nldas_et0_total_gs,0.5071055975026425,0.5483277453840151,0.34964573842294705,0.1331086016719146,-0.23674175960288832,0.4632629766825208,0.5794298095487902,0.5438843412020672,0.5400460667572263,1.0,0.6681733136425388,0.02318847540460425,0.9618940143914966,0.2664810343032295,-0.3169002040809284,-0.24026319712321476,-0.295533806935946,-0.29989275325963544,-0.2731843278576539,-0.26002449815839496,-0.20647296578553628,-0.2081067838869435,-0.5552004480794086,-0.5124498206272046,-0.30173704658786904,0.5652216606749161,-0.5110332300567937,-0.4795664632602392,0.5203609912364773,0.5195076952846134,0.5134127561371972,0.5182041574905828,0.52014419766344,-0.4832186477337023,-0.4146523419445569,0.49908833114535456,0.22053114039226052,-0.3243932413760535,0.14473076702658838,0.7694101556592965,-0.10360722675639197,-0.36794617502371735,-0.2654803465233235,0.2355391318903036,0.2363080153207673,0.2371407629992763,0.46991120745463216,0.4641162059564777,-0.29606190518928877,0.581426287038321,0.8906981345325874,-0.18670452004063187,-0.43542026972530784,-0.40547454119601184,0.4408787623344616,0.4408352465947477,0.4405556986271998,0.4199192412797749,0.4400996916535602,0.2023055346313626,0.6469623560734442,0.8146329265908373,-0.17795741851819888,-0.35728616434494076,-0.46483629012116195,0.38362765853221026,0.3839193582213617,0.38494773558642836,0.12152925374576325,0.01953193016024282,0.023936799745528956,0.11072739287892379,0.23566472648838507,0.04081794627959536,0.12372765692644176,0.21209515916205215,-0.38878679813275724,-0.06718405784385076,-0.01737140531008065,0.09365641471472588,0.08095399783586425,0.1275256571408903,-0.06592320574357248,0.02053465573836396,-0.25389821213395014,-0.02364330354095629,0.49340174215951366,0.2371407629992763,0.4405556986271998,0.38494773558642836,,,-0.016282107290214752,0.07740651775179896,0.06734347615636538,-0.08698274641485831,0.015169340832011461,0.005402123240811584,0.09220426973563453,-0.1689317467578702,0.010176392412411025,0.05501871430107341,-0.5781377579190703,0.5263561667652769,0.44084765031823836
